Student S10025 named Alexander Campbell, age 12, gender Female, is in Class 9. Scored 56 in Math, 39 in Science, 58 in English, 58 in History, and 39 in Computer, totaling 250 marks with Grade D. Attendance stands at 71.01 percent. Participates in Debate as an extracurricular activity.
Student S10125 named Kristine Conrad, age 13, gender Female, is in Class 9. Scored 76 in Math, 59 in Science, 48 in English, 51 in History, and 87 in Computer, totaling 321 marks with Grade C. Attendance stands at 90.51 percent. Participates in Football as an extracurricular activity.
Student S10138 named Christina Nguyen, age 10, gender Male, is in Class 9. Scored 89 in Math, 37 in Science, 39 in English, 94 in History, and 73 in Computer, totaling 332 marks with Grade C. Attendance stands at 89.65 percent. Participates in Dance as an extracurricular activity.
Student S10150 named James Brown, age 12, gender Male, is in Class 9. Scored 40 in Math, 33 in Science, 91 in English, 82 in History, and 82 in Computer, totaling 328 marks with Grade C. Attendance stands at 87.90 percent. Participates in Music as an extracurricular activity.
Student S10154 named Kyle Thomas, age 14, gender Male, is in Class 9. Scored 55 in Math, 70 in Science, 31 in English, 96 in History, and 90 in Computer, totaling 342 marks with Grade C. Attendance stands at 66.40 percent. Participates in Dance as an extracurricular activity.
Student S10158 named Jeffrey Gill, age 13, gender Male, is in Class 9. Scored 64 in Math, 50 in Science, 56 in English, 54 in History, and 54 in Computer, totaling 278 marks with Grade D. Attendance stands at 66.57 percent. Participates in None as an extracurricular activity.
Student S10161 named Cynthia Gomez, age 14, gender Female, is in Class 9. Scored 34 in Math, 68 in Science, 52 in English, 53 in History, and 84 in Computer, totaling 291 marks with Grade D. Attendance stands at 86.10 percent. Participates in Music as an extracurricular activity.
Student S10167 named Danny Johnson, age 17, gender Male, is in Class 9. Scored 93 in Math, 31 in Science, 65 in English, 84 in History, and 83 in Computer, totaling 356 marks with Grade C. Attendance stands at 94.78 percent. Participates in None as an extracurricular activity.
Student S10173 named James Tucker, age 14, gender Male, is in Class 9. Scored 87 in Math, 77 in Science, 30 in English, 68 in History, and 41 in Computer, totaling 303 marks with Grade C. Attendance stands at 86.75 percent. Participates in Drama as an extracurricular activity.
Student S10181 named Richard Nixon, age 12, gender Female, is in Class 9. Scored 73 in Math, 46 in Science, 68 in English, 90 in History, and 52 in Computer, totaling 329 marks with Grade C. Attendance stands at 68.88 percent. Participates in Debate as an extracurricular activity.
Student S10183 named Joe Perez, age 14, gender Male, is in Class 9. Scored 93 in Math, 68 in Science, 36 in English, 75 in History, and 84 in Computer, totaling 356 marks with Grade C. Attendance stands at 79.17 percent. Participates in Debate as an extracurricular activity.
Student S10186 named Samantha Chaney, age 17, gender Female, is in Class 9. Scored 94 in Math, 59 in Science, 58 in English, 68 in History, and 46 in Computer, totaling 325 marks with Grade C. Attendance stands at 89.79 percent. Participates in None as an extracurricular activity.
Student S10190 named Jonathan Stephens, age 10, gender Female, is in Class 9. Scored 35 in Math, 90 in Science, 40 in English, 66 in History, and 40 in Computer, totaling 271 marks with Grade D. Attendance stands at 72.40 percent. Participates in Debate as an extracurricular activity.
Student S10191 named Paul King, age 10, gender Female, is in Class 9. Scored 61 in Math, 37 in Science, 78 in English, 42 in History, and 43 in Computer, totaling 261 marks with Grade D. Attendance stands at 73.90 percent. Participates in None as an extracurricular activity.
Student S10196 named Daniel Sullivan, age 16, gender Male, is in Class 9. Scored 53 in Math, 67 in Science, 84 in English, 34 in History, and 71 in Computer, totaling 309 marks with Grade C. Attendance stands at 82.29 percent. Participates in Dance as an extracurricular activity.
Student S10204 named Andrew Zimmerman, age 15, gender Male, is in Class 9. Scored 84 in Math, 46 in Science, 62 in English, 66 in History, and 53 in Computer, totaling 311 marks with Grade C. Attendance stands at 92.30 percent. Participates in Football as an extracurricular activity.
Student S10224 named Jordan Phillips, age 17, gender Female, is in Class 9. Scored 85 in Math, 83 in Science, 84 in English, 65 in History, and 30 in Computer, totaling 347 marks with Grade C. Attendance stands at 92.35 percent. Participates in None as an extracurricular activity.
Student S10239 named Javier Young, age 11, gender Male, is in Class 9. Scored 37 in Math, 92 in Science, 85 in English, 94 in History, and 87 in Computer, totaling 395 marks with Grade C. Attendance stands at 79.27 percent. Participates in Music as an extracurricular activity.
Student S10240 named Aaron Mcdonald, age 14, gender Male, is in Class 9. Scored 98 in Math, 72 in Science, 54 in English, 80 in History, and 87 in Computer, totaling 391 marks with Grade C. Attendance stands at 93.46 percent. Participates in Drama as an extracurricular activity.
Student S10250 named Leslie Williams DDS, age 12, gender Male, is in Class 9. Scored 74 in Math, 84 in Science, 56 in English, 98 in History, and 87 in Computer, totaling 399 marks with Grade C. Attendance stands at 75.79 percent. Participates in Drama as an extracurricular activity.
Student S10253 named Jonathan Bennett, age 14, gender Male, is in Class 9. Scored 40 in Math, 33 in Science, 43 in English, 53 in History, and 69 in Computer, totaling 238 marks with Grade D. Attendance stands at 91.93 percent. Participates in Debate as an extracurricular activity.
Student S10255 named Kenneth Johnston, age 10, gender Female, is in Class 9. Scored 69 in Math, 84 in Science, 70 in English, 42 in History, and 41 in Computer, totaling 306 marks with Grade C. Attendance stands at 76.95 percent. Participates in Dance as an extracurricular activity.
Student S10277 named James Jones, age 17, gender Male, is in Class 9. Scored 84 in Math, 87 in Science, 56 in English, 66 in History, and 60 in Computer, totaling 353 marks with Grade C. Attendance stands at 99.21 percent. Participates in Football as an extracurricular activity.
Student S10281 named Joseph Sanders, age 16, gender Male, is in Class 9. Scored 67 in Math, 84 in Science, 84 in English, 54 in History, and 66 in Computer, totaling 355 marks with Grade C. Attendance stands at 90.15 percent. Participates in Football as an extracurricular activity.
Student S10303 named Jessica Kirby, age 13, gender Female, is in Class 9. Scored 60 in Math, 54 in Science, 63 in English, 42 in History, and 68 in Computer, totaling 287 marks with Grade D. Attendance stands at 90.50 percent. Participates in Drama as an extracurricular activity.
Student S10320 named Christopher Harmon, age 11, gender Female, is in Class 9. Scored 58 in Math, 71 in Science, 47 in English, 44 in History, and 60 in Computer, totaling 280 marks with Grade D. Attendance stands at 72.02 percent. Participates in Drama as an extracurricular activity.
Student S10331 named David Jacobs, age 11, gender Male, is in Class 9. Scored 86 in Math, 40 in Science, 33 in English, 36 in History, and 34 in Computer, totaling 229 marks with Grade D. Attendance stands at 71.87 percent. Participates in None as an extracurricular activity.
Student S10342 named Rachel Thomas, age 16, gender Female, is in Class 9. Scored 41 in Math, 80 in Science, 75 in English, 94 in History, and 98 in Computer, totaling 388 marks with Grade C. Attendance stands at 77.34 percent. Participates in Football as an extracurricular activity.
Student S10349 named Shannon Odonnell, age 10, gender Male, is in Class 9. Scored 67 in Math, 95 in Science, 87 in English, 77 in History, and 58 in Computer, totaling 384 marks with Grade C. Attendance stands at 94.64 percent. Participates in Music as an extracurricular activity.
Student S10379 named John Herring, age 13, gender Female, is in Class 9. Scored 56 in Math, 42 in Science, 62 in English, 41 in History, and 32 in Computer, totaling 233 marks with Grade D. Attendance stands at 75.17 percent. Participates in None as an extracurricular activity.
Student S10394 named Walter Brandt, age 13, gender Female, is in Class 9. Scored 51 in Math, 84 in Science, 88 in English, 88 in History, and 73 in Computer, totaling 384 marks with Grade C. Attendance stands at 76.83 percent. Participates in Music as an extracurricular activity.
Student S10397 named Joseph Green, age 13, gender Female, is in Class 9. Scored 78 in Math, 40 in Science, 91 in English, 83 in History, and 74 in Computer, totaling 366 marks with Grade C. Attendance stands at 73.68 percent. Participates in Debate as an extracurricular activity.
Student S10414 named Rachel Olson, age 10, gender Female, is in Class 9. Scored 67 in Math, 55 in Science, 65 in English, 92 in History, and 47 in Computer, totaling 326 marks with Grade C. Attendance stands at 96.68 percent. Participates in Music as an extracurricular activity.
Student S10427 named Mathew Thompson, age 10, gender Female, is in Class 9. Scored 83 in Math, 68 in Science, 36 in English, 63 in History, and 43 in Computer, totaling 293 marks with Grade D. Attendance stands at 88.30 percent. Participates in Football as an extracurricular activity.
Student S10438 named Kevin Phillips, age 16, gender Male, is in Class 9. Scored 62 in Math, 76 in Science, 61 in English, 85 in History, and 86 in Computer, totaling 370 marks with Grade C. Attendance stands at 98.65 percent. Participates in Debate as an extracurricular activity.
Student S10444 named Vanessa Bradley, age 14, gender Male, is in Class 9. Scored 68 in Math, 52 in Science, 54 in English, 47 in History, and 42 in Computer, totaling 263 marks with Grade D. Attendance stands at 61.16 percent. Participates in Dance as an extracurricular activity.
Student S10446 named Jacob Rodriguez, age 12, gender Male, is in Class 9. Scored 76 in Math, 79 in Science, 91 in English, 55 in History, and 92 in Computer, totaling 393 marks with Grade C. Attendance stands at 62.32 percent. Participates in Music as an extracurricular activity.
Student S10456 named Darin Rojas, age 14, gender Male, is in Class 9. Scored 40 in Math, 93 in Science, 60 in English, 76 in History, and 87 in Computer, totaling 356 marks with Grade C. Attendance stands at 77.35 percent. Participates in Dance as an extracurricular activity.
Student S10460 named Cindy Williams, age 11, gender Male, is in Class 9. Scored 67 in Math, 45 in Science, 97 in English, 60 in History, and 96 in Computer, totaling 365 marks with Grade C. Attendance stands at 75.94 percent. Participates in Drama as an extracurricular activity.
Student S10461 named Gary White, age 13, gender Male, is in Class 9. Scored 95 in Math, 70 in Science, 99 in English, 44 in History, and 87 in Computer, totaling 395 marks with Grade C. Attendance stands at 79.53 percent. Participates in Dance as an extracurricular activity.
Student S10471 named Meredith Villegas, age 14, gender Female, is in Class 9. Scored 35 in Math, 85 in Science, 47 in English, 82 in History, and 44 in Computer, totaling 293 marks with Grade D. Attendance stands at 60.40 percent. Participates in Drama as an extracurricular activity.
Student S10474 named Andrew Lin, age 12, gender Female, is in Class 9. Scored 41 in Math, 88 in Science, 42 in English, 33 in History, and 61 in Computer, totaling 265 marks with Grade D. Attendance stands at 92.95 percent. Participates in Drama as an extracurricular activity.
Student S10503 named Manuel Reed, age 10, gender Male, is in Class 9. Scored 46 in Math, 55 in Science, 41 in English, 73 in History, and 87 in Computer, totaling 302 marks with Grade C. Attendance stands at 80.44 percent. Participates in Dance as an extracurricular activity.
Student S10515 named Caitlin Jordan, age 15, gender Female, is in Class 9. Scored 95 in Math, 62 in Science, 35 in English, 51 in History, and 92 in Computer, totaling 335 marks with Grade C. Attendance stands at 78.62 percent. Participates in Debate as an extracurricular activity.
Student S10525 named Christine Harrell, age 10, gender Male, is in Class 9. Scored 37 in Math, 30 in Science, 69 in English, 50 in History, and 51 in Computer, totaling 237 marks with Grade D. Attendance stands at 82.40 percent. Participates in Debate as an extracurricular activity.
Student S10529 named Samuel Banks, age 16, gender Female, is in Class 9. Scored 72 in Math, 31 in Science, 35 in English, 66 in History, and 98 in Computer, totaling 302 marks with Grade C. Attendance stands at 96.97 percent. Participates in Music as an extracurricular activity.
Student S10553 named Nicole Powell, age 12, gender Male, is in Class 9. Scored 38 in Math, 31 in Science, 93 in English, 62 in History, and 46 in Computer, totaling 270 marks with Grade D. Attendance stands at 78.30 percent. Participates in None as an extracurricular activity.
Student S10556 named Sean Thomas, age 11, gender Female, is in Class 9. Scored 70 in Math, 82 in Science, 84 in English, 90 in History, and 30 in Computer, totaling 356 marks with Grade C. Attendance stands at 93.12 percent. Participates in None as an extracurricular activity.
Student S10559 named Nancy Alvarez, age 13, gender Female, is in Class 9. Scored 69 in Math, 68 in Science, 74 in English, 97 in History, and 96 in Computer, totaling 404 marks with Grade B. Attendance stands at 74.64 percent. Participates in Dance as an extracurricular activity.
Student S10565 named Mikayla Yoder, age 16, gender Female, is in Class 9. Scored 58 in Math, 92 in Science, 99 in English, 60 in History, and 66 in Computer, totaling 375 marks with Grade C. Attendance stands at 84.37 percent. Participates in Football as an extracurricular activity.
Student S10576 named Richard Powell, age 17, gender Female, is in Class 9. Scored 53 in Math, 75 in Science, 40 in English, 97 in History, and 88 in Computer, totaling 353 marks with Grade C. Attendance stands at 96.85 percent. Participates in Debate as an extracurricular activity.
Student S10590 named Mary Meyer, age 10, gender Male, is in Class 9. Scored 63 in Math, 63 in Science, 81 in English, 53 in History, and 30 in Computer, totaling 290 marks with Grade D. Attendance stands at 90.06 percent. Participates in Football as an extracurricular activity.
Student S10595 named Sarah Carter, age 10, gender Male, is in Class 9. Scored 67 in Math, 90 in Science, 98 in English, 96 in History, and 75 in Computer, totaling 426 marks with Grade B. Attendance stands at 66.68 percent. Participates in None as an extracurricular activity.
Student S10601 named Brenda Brown, age 15, gender Male, is in Class 9. Scored 76 in Math, 84 in Science, 79 in English, 46 in History, and 82 in Computer, totaling 367 marks with Grade C. Attendance stands at 86.65 percent. Participates in Music as an extracurricular activity.
Student S10602 named Jacqueline Glover, age 15, gender Male, is in Class 9. Scored 32 in Math, 42 in Science, 67 in English, 42 in History, and 51 in Computer, totaling 234 marks with Grade D. Attendance stands at 99.85 percent. Participates in Dance as an extracurricular activity.
Student S10603 named David Dennis, age 14, gender Male, is in Class 9. Scored 58 in Math, 63 in Science, 82 in English, 77 in History, and 60 in Computer, totaling 340 marks with Grade C. Attendance stands at 99.09 percent. Participates in Football as an extracurricular activity.
Student S10619 named Deborah Velasquez, age 12, gender Female, is in Class 9. Scored 52 in Math, 87 in Science, 36 in English, 90 in History, and 56 in Computer, totaling 321 marks with Grade C. Attendance stands at 83.63 percent. Participates in Drama as an extracurricular activity.
Student S10632 named Steven Ward, age 12, gender Male, is in Class 9. Scored 97 in Math, 36 in Science, 98 in English, 95 in History, and 79 in Computer, totaling 405 marks with Grade B. Attendance stands at 99.41 percent. Participates in Drama as an extracurricular activity.
Student S10637 named Hannah Brooks, age 12, gender Male, is in Class 9. Scored 90 in Math, 85 in Science, 75 in English, 76 in History, and 67 in Computer, totaling 393 marks with Grade C. Attendance stands at 74.23 percent. Participates in Football as an extracurricular activity.
Student S10638 named John Lee, age 17, gender Female, is in Class 9. Scored 92 in Math, 77 in Science, 36 in English, 59 in History, and 95 in Computer, totaling 359 marks with Grade C. Attendance stands at 87.12 percent. Participates in Football as an extracurricular activity.
Student S10640 named Crystal Miranda, age 17, gender Male, is in Class 9. Scored 33 in Math, 87 in Science, 33 in English, 89 in History, and 72 in Computer, totaling 314 marks with Grade C. Attendance stands at 62.25 percent. Participates in None as an extracurricular activity.
Student S10644 named Randy Austin, age 15, gender Female, is in Class 9. Scored 41 in Math, 77 in Science, 57 in English, 46 in History, and 74 in Computer, totaling 295 marks with Grade D. Attendance stands at 85.56 percent. Participates in Music as an extracurricular activity.
Student S10651 named Scott Smith, age 13, gender Female, is in Class 9. Scored 40 in Math, 55 in Science, 63 in English, 88 in History, and 69 in Computer, totaling 315 marks with Grade C. Attendance stands at 69.46 percent. Participates in Music as an extracurricular activity.
Student S10663 named Jeffrey Cross, age 15, gender Male, is in Class 9. Scored 47 in Math, 37 in Science, 34 in English, 97 in History, and 61 in Computer, totaling 276 marks with Grade D. Attendance stands at 92.79 percent. Participates in Dance as an extracurricular activity.
Student S10671 named Karen Kerr, age 10, gender Female, is in Class 9. Scored 82 in Math, 56 in Science, 99 in English, 69 in History, and 90 in Computer, totaling 396 marks with Grade C. Attendance stands at 73.20 percent. Participates in Music as an extracurricular activity.
Student S10674 named Matthew Brown, age 11, gender Female, is in Class 9. Scored 63 in Math, 34 in Science, 30 in English, 55 in History, and 79 in Computer, totaling 261 marks with Grade D. Attendance stands at 82.47 percent. Participates in Debate as an extracurricular activity.
Student S10682 named Patricia Gordon, age 14, gender Female, is in Class 9. Scored 91 in Math, 91 in Science, 55 in English, 85 in History, and 95 in Computer, totaling 417 marks with Grade B. Attendance stands at 74.09 percent. Participates in Football as an extracurricular activity.
Student S10693 named Elizabeth Smith, age 14, gender Female, is in Class 9. Scored 80 in Math, 33 in Science, 47 in English, 46 in History, and 79 in Computer, totaling 285 marks with Grade D. Attendance stands at 60.54 percent. Participates in Debate as an extracurricular activity.
Student S10714 named Nathan York, age 14, gender Male, is in Class 9. Scored 87 in Math, 63 in Science, 71 in English, 71 in History, and 81 in Computer, totaling 373 marks with Grade C. Attendance stands at 81.52 percent. Participates in Football as an extracurricular activity.
Student S10722 named Ashley Chambers, age 11, gender Female, is in Class 9. Scored 83 in Math, 67 in Science, 41 in English, 61 in History, and 81 in Computer, totaling 333 marks with Grade C. Attendance stands at 70.33 percent. Participates in Music as an extracurricular activity.
Student S10729 named Mark Jones, age 13, gender Male, is in Class 9. Scored 34 in Math, 37 in Science, 40 in English, 34 in History, and 64 in Computer, totaling 209 marks with Grade D. Attendance stands at 89.18 percent. Participates in Drama as an extracurricular activity.
Student S10732 named Jillian Blevins, age 14, gender Male, is in Class 9. Scored 62 in Math, 77 in Science, 50 in English, 66 in History, and 65 in Computer, totaling 320 marks with Grade C. Attendance stands at 87.39 percent. Participates in Drama as an extracurricular activity.
Student S10733 named Brian Turner, age 15, gender Male, is in Class 9. Scored 75 in Math, 36 in Science, 53 in English, 76 in History, and 77 in Computer, totaling 317 marks with Grade C. Attendance stands at 62.92 percent. Participates in Dance as an extracurricular activity.
Student S10735 named Tracy Reed, age 13, gender Female, is in Class 9. Scored 68 in Math, 69 in Science, 92 in English, 80 in History, and 75 in Computer, totaling 384 marks with Grade C. Attendance stands at 82.29 percent. Participates in Football as an extracurricular activity.
Student S10757 named Brittany Raymond, age 15, gender Female, is in Class 9. Scored 67 in Math, 32 in Science, 73 in English, 31 in History, and 54 in Computer, totaling 257 marks with Grade D. Attendance stands at 66.71 percent. Participates in None as an extracurricular activity.
Student S10788 named Mary Williams, age 11, gender Female, is in Class 9. Scored 51 in Math, 52 in Science, 60 in English, 71 in History, and 43 in Computer, totaling 277 marks with Grade D. Attendance stands at 84.84 percent. Participates in Music as an extracurricular activity.
Student S10790 named Cynthia Pineda, age 14, gender Female, is in Class 9. Scored 56 in Math, 35 in Science, 67 in English, 37 in History, and 74 in Computer, totaling 269 marks with Grade D. Attendance stands at 97.77 percent. Participates in None as an extracurricular activity.
Student S10813 named Jeffrey White, age 15, gender Female, is in Class 9. Scored 61 in Math, 60 in Science, 37 in English, 84 in History, and 60 in Computer, totaling 302 marks with Grade C. Attendance stands at 65.28 percent. Participates in None as an extracurricular activity.
Student S10815 named Raymond Baker, age 12, gender Male, is in Class 9. Scored 52 in Math, 65 in Science, 85 in English, 31 in History, and 84 in Computer, totaling 317 marks with Grade C. Attendance stands at 84.05 percent. Participates in Football as an extracurricular activity.
Student S10830 named Debra Arnold, age 15, gender Female, is in Class 9. Scored 37 in Math, 93 in Science, 94 in English, 60 in History, and 67 in Computer, totaling 351 marks with Grade C. Attendance stands at 86.84 percent. Participates in Music as an extracurricular activity.
Student S10839 named Scott Shaw, age 12, gender Male, is in Class 9. Scored 30 in Math, 66 in Science, 45 in English, 58 in History, and 64 in Computer, totaling 263 marks with Grade D. Attendance stands at 60.65 percent. Participates in Debate as an extracurricular activity.
Student S10842 named Tammy Morgan, age 15, gender Male, is in Class 9. Scored 70 in Math, 69 in Science, 54 in English, 51 in History, and 46 in Computer, totaling 290 marks with Grade D. Attendance stands at 90.28 percent. Participates in None as an extracurricular activity.
Student S10844 named Jesse Moore, age 10, gender Female, is in Class 9. Scored 84 in Math, 52 in Science, 68 in English, 36 in History, and 68 in Computer, totaling 308 marks with Grade C. Attendance stands at 72.10 percent. Participates in Music as an extracurricular activity.
Student S10851 named Michael Morris, age 14, gender Female, is in Class 9. Scored 30 in Math, 87 in Science, 37 in English, 52 in History, and 37 in Computer, totaling 243 marks with Grade D. Attendance stands at 60.38 percent. Participates in Football as an extracurricular activity.
Student S10858 named Brenda Burke, age 10, gender Female, is in Class 9. Scored 66 in Math, 43 in Science, 58 in English, 31 in History, and 99 in Computer, totaling 297 marks with Grade D. Attendance stands at 85.33 percent. Participates in Football as an extracurricular activity.
Student S10859 named Theresa Jackson, age 16, gender Male, is in Class 9. Scored 52 in Math, 32 in Science, 56 in English, 57 in History, and 92 in Computer, totaling 289 marks with Grade D. Attendance stands at 88.75 percent. Participates in Football as an extracurricular activity.
Student S10869 named Nancy Williams, age 13, gender Male, is in Class 9. Scored 81 in Math, 50 in Science, 51 in English, 69 in History, and 76 in Computer, totaling 327 marks with Grade C. Attendance stands at 83.89 percent. Participates in Drama as an extracurricular activity.
Student S10871 named Frank Reilly, age 17, gender Male, is in Class 9. Scored 44 in Math, 77 in Science, 34 in English, 45 in History, and 98 in Computer, totaling 298 marks with Grade D. Attendance stands at 81.62 percent. Participates in Dance as an extracurricular activity.
Student S10895 named Luis Ellis, age 13, gender Male, is in Class 9. Scored 92 in Math, 86 in Science, 80 in English, 59 in History, and 59 in Computer, totaling 376 marks with Grade C. Attendance stands at 89.14 percent. Participates in Football as an extracurricular activity.
Student S10896 named Leonard Martinez, age 13, gender Female, is in Class 9. Scored 65 in Math, 95 in Science, 76 in English, 74 in History, and 63 in Computer, totaling 373 marks with Grade C. Attendance stands at 76.36 percent. Participates in Dance as an extracurricular activity.
Student S10908 named David Miller, age 10, gender Male, is in Class 9. Scored 92 in Math, 72 in Science, 92 in English, 73 in History, and 76 in Computer, totaling 405 marks with Grade B. Attendance stands at 97.57 percent. Participates in Drama as an extracurricular activity.
Student S10916 named Calvin Lewis, age 16, gender Female, is in Class 9. Scored 82 in Math, 74 in Science, 52 in English, 96 in History, and 52 in Computer, totaling 356 marks with Grade C. Attendance stands at 88.05 percent. Participates in Drama as an extracurricular activity.
Student S10936 named Xavier Brooks, age 10, gender Female, is in Class 9. Scored 50 in Math, 39 in Science, 45 in English, 99 in History, and 78 in Computer, totaling 311 marks with Grade C. Attendance stands at 93.20 percent. Participates in Music as an extracurricular activity.
Student S10952 named Lisa Jordan, age 11, gender Male, is in Class 9. Scored 63 in Math, 72 in Science, 79 in English, 49 in History, and 42 in Computer, totaling 305 marks with Grade C. Attendance stands at 99.76 percent. Participates in Football as an extracurricular activity.
Student S10988 named Erica Turner, age 15, gender Female, is in Class 9. Scored 38 in Math, 53 in Science, 78 in English, 68 in History, and 70 in Computer, totaling 307 marks with Grade C. Attendance stands at 60.66 percent. Participates in Drama as an extracurricular activity.
Student S10990 named Angela Abbott, age 12, gender Male, is in Class 9. Scored 91 in Math, 30 in Science, 94 in English, 52 in History, and 77 in Computer, totaling 344 marks with Grade C. Attendance stands at 76.94 percent. Participates in Football as an extracurricular activity.
Student S10996 named Emma Johnson, age 10, gender Male, is in Class 9. Scored 38 in Math, 57 in Science, 95 in English, 67 in History, and 96 in Computer, totaling 353 marks with Grade C. Attendance stands at 73.12 percent. Participates in Music as an extracurricular activity.
Student S11008 named Victoria Buck, age 16, gender Female, is in Class 9. Scored 58 in Math, 78 in Science, 39 in English, 63 in History, and 38 in Computer, totaling 276 marks with Grade D. Attendance stands at 70.29 percent. Participates in Dance as an extracurricular activity.
Student S11009 named Samuel Santos, age 13, gender Male, is in Class 9. Scored 86 in Math, 45 in Science, 63 in English, 41 in History, and 89 in Computer, totaling 324 marks with Grade C. Attendance stands at 83.14 percent. Participates in Drama as an extracurricular activity.
Student S11018 named Cory Moran, age 13, gender Female, is in Class 9. Scored 49 in Math, 87 in Science, 98 in English, 78 in History, and 89 in Computer, totaling 401 marks with Grade B. Attendance stands at 95.09 percent. Participates in None as an extracurricular activity.
Student S11047 named Nathan Sims, age 10, gender Male, is in Class 9. Scored 99 in Math, 82 in Science, 36 in English, 99 in History, and 66 in Computer, totaling 382 marks with Grade C. Attendance stands at 74.12 percent. Participates in Music as an extracurricular activity.
Student S11053 named Vicki Anderson, age 16, gender Female, is in Class 9. Scored 45 in Math, 59 in Science, 72 in English, 66 in History, and 31 in Computer, totaling 273 marks with Grade D. Attendance stands at 92.00 percent. Participates in Dance as an extracurricular activity.
Student S11059 named Beth Moore, age 11, gender Female, is in Class 9. Scored 90 in Math, 55 in Science, 93 in English, 60 in History, and 79 in Computer, totaling 377 marks with Grade C. Attendance stands at 96.62 percent. Participates in Football as an extracurricular activity.
Student S11064 named John Young, age 10, gender Male, is in Class 9. Scored 61 in Math, 66 in Science, 84 in English, 40 in History, and 87 in Computer, totaling 338 marks with Grade C. Attendance stands at 72.46 percent. Participates in Music as an extracurricular activity.
Student S11068 named April Townsend, age 12, gender Female, is in Class 9. Scored 44 in Math, 57 in Science, 51 in English, 53 in History, and 90 in Computer, totaling 295 marks with Grade D. Attendance stands at 98.85 percent. Participates in Drama as an extracurricular activity.
Student S11069 named Mr. Ronald Fuller MD, age 13, gender Male, is in Class 9. Scored 52 in Math, 77 in Science, 62 in English, 77 in History, and 35 in Computer, totaling 303 marks with Grade C. Attendance stands at 78.57 percent. Participates in Football as an extracurricular activity.
Student S11074 named Mr. John Castro, age 13, gender Male, is in Class 9. Scored 44 in Math, 35 in Science, 94 in English, 36 in History, and 83 in Computer, totaling 292 marks with Grade D. Attendance stands at 92.73 percent. Participates in Football as an extracurricular activity.
Student S11081 named Brian Terry, age 17, gender Male, is in Class 9. Scored 31 in Math, 43 in Science, 31 in English, 67 in History, and 84 in Computer, totaling 256 marks with Grade D. Attendance stands at 62.75 percent. Participates in None as an extracurricular activity.
Student S11093 named Kayla Carlson, age 14, gender Female, is in Class 9. Scored 84 in Math, 35 in Science, 32 in English, 39 in History, and 52 in Computer, totaling 242 marks with Grade D. Attendance stands at 80.87 percent. Participates in Dance as an extracurricular activity.
Student S11094 named Susan Salas, age 13, gender Female, is in Class 9. Scored 54 in Math, 31 in Science, 37 in English, 36 in History, and 40 in Computer, totaling 198 marks with Grade F. Attendance stands at 82.22 percent. Participates in None as an extracurricular activity.
