Student S10002 named Christopher Taylor, age 17, gender Male, is in Class 7. Scored 71 in Math, 59 in Science, 30 in English, 88 in History, and 94 in Computer, totaling 342 marks with Grade C. Attendance stands at 71.95 percent. Participates in Music as an extracurricular activity.
Student S10254 named Ryan Cooper, age 14, gender Male, is in Class 7. Scored 36 in Math, 32 in Science, 47 in English, 52 in History, and 55 in Computer, totaling 222 marks with Grade D. Attendance stands at 86.34 percent. Participates in Drama as an extracurricular activity.
Student S10257 named Tony Novak DDS, age 15, gender Male, is in Class 7. Scored 97 in Math, 88 in Science, 82 in English, 55 in History, and 45 in Computer, totaling 367 marks with Grade C. Attendance stands at 79.85 percent. Participates in Dance as an extracurricular activity.
Student S10258 named Joshua Johnston, age 10, gender Female, is in Class 7. Scored 77 in Math, 56 in Science, 72 in English, 41 in History, and 33 in Computer, totaling 279 marks with Grade D. Attendance stands at 91.83 percent. Participates in Football as an extracurricular activity.
Student S10278 named Matthew Smith, age 10, gender Male, is in Class 7. Scored 37 in Math, 41 in Science, 89 in English, 67 in History, and 67 in Computer, totaling 301 marks with Grade C. Attendance stands at 64.69 percent. Participates in Football as an extracurricular activity.
Student S10286 named Tommy Moreno, age 15, gender Male, is in Class 7. Scored 68 in Math, 66 in Science, 67 in English, 99 in History, and 76 in Computer, totaling 376 marks with Grade C. Attendance stands at 90.92 percent. Participates in Dance as an extracurricular activity.
Student S10308 named Mary Martin, age 15, gender Male, is in Class 7. Scored 77 in Math, 37 in Science, 44 in English, 63 in History, and 49 in Computer, totaling 270 marks with Grade D. Attendance stands at 76.84 percent. Participates in Drama as an extracurricular activity.
Student S10319 named Christine Kennedy, age 16, gender Female, is in Class 7. Scored 71 in Math, 86 in Science, 66 in English, 61 in History, and 86 in Computer, totaling 370 marks with Grade C. Attendance stands at 75.28 percent. Participates in Dance as an extracurricular activity.
Student S10337 named Brett Graham, age 11, gender Female, is in Class 7. Scored 99 in Math, 49 in Science, 57 in English, 85 in History, and 88 in Computer, totaling 378 marks with Grade C. Attendance stands at 83.45 percent. Participates in Drama as an extracurricular activity.
Student S10338 named Samantha Mata, age 12, gender Female, is in Class 7. Scored 75 in Math, 86 in Science, 80 in English, 42 in History, and 67 in Computer, totaling 350 marks with Grade C. Attendance stands at 60.16 percent. Participates in Dance as an extracurricular activity.
Student S10340 named Andrew Sherman, age 17, gender Male, is in Class 7. Scored 30 in Math, 48 in Science, 60 in English, 33 in History, and 67 in Computer, totaling 238 marks with Grade D. Attendance stands at 65.75 percent. Participates in Debate as an extracurricular activity.
Student S10341 named Jon Miller, age 10, gender Female, is in Class 7. Scored 86 in Math, 72 in Science, 91 in English, 37 in History, and 87 in Computer, totaling 373 marks with Grade C. Attendance stands at 95.94 percent. Participates in None as an extracurricular activity.
Student S10344 named Andrew Wu, age 13, gender Male, is in Class 7. Scored 56 in Math, 50 in Science, 35 in English, 66 in History, and 62 in Computer, totaling 269 marks with Grade D. Attendance stands at 68.48 percent. Participates in Football as an extracurricular activity.
Student S10369 named Samantha Church, age 16, gender Male, is in Class 7. Scored 67 in Math, 74 in Science, 36 in English, 73 in History, and 55 in Computer, totaling 305 marks with Grade C. Attendance stands at 88.23 percent. Participates in Music as an extracurricular activity.
Student S10372 named Sean Cisneros, age 10, gender Male, is in Class 7. Scored 47 in Math, 67 in Science, 59 in English, 39 in History, and 59 in Computer, totaling 271 marks with Grade D. Attendance stands at 68.09 percent. Participates in Football as an extracurricular activity.
Student S10376 named Charles Smith, age 16, gender Female, is in Class 7. Scored 92 in Math, 48 in Science, 84 in English, 44 in History, and 54 in Computer, totaling 322 marks with Grade C. Attendance stands at 90.39 percent. Participates in Debate as an extracurricular activity.
Student S10377 named Tara Johnson, age 13, gender Female, is in Class 7. Scored 78 in Math, 80 in Science, 53 in English, 75 in History, and 67 in Computer, totaling 353 marks with Grade C. Attendance stands at 70.75 percent. Participates in Football as an extracurricular activity.
Student S10393 named Isaiah Schroeder, age 13, gender Female, is in Class 7. Scored 85 in Math, 79 in Science, 49 in English, 77 in History, and 68 in Computer, totaling 358 marks with Grade C. Attendance stands at 83.37 percent. Participates in None as an extracurricular activity.
Student S10401 named Aaron Smith, age 15, gender Female, is in Class 7. Scored 52 in Math, 45 in Science, 57 in English, 33 in History, and 80 in Computer, totaling 267 marks with Grade D. Attendance stands at 81.16 percent. Participates in None as an extracurricular activity.
Student S10409 named Rhonda Herman, age 17, gender Female, is in Class 7. Scored 80 in Math, 49 in Science, 61 in English, 91 in History, and 84 in Computer, totaling 365 marks with Grade C. Attendance stands at 74.25 percent. Participates in Drama as an extracurricular activity.
Student S10429 named Victoria Taylor, age 17, gender Male, is in Class 7. Scored 47 in Math, 54 in Science, 47 in English, 59 in History, and 67 in Computer, totaling 274 marks with Grade D. Attendance stands at 81.02 percent. Participates in Drama as an extracurricular activity.
Student S10437 named Jeremy Graham, age 17, gender Female, is in Class 7. Scored 90 in Math, 49 in Science, 97 in English, 71 in History, and 67 in Computer, totaling 374 marks with Grade C. Attendance stands at 73.32 percent. Participates in Dance as an extracurricular activity.
Student S10445 named Anna Ellis, age 12, gender Female, is in Class 7. Scored 82 in Math, 41 in Science, 97 in English, 32 in History, and 72 in Computer, totaling 324 marks with Grade C. Attendance stands at 91.01 percent. Participates in Football as an extracurricular activity.
Student S10457 named Charles Castro, age 14, gender Female, is in Class 7. Scored 95 in Math, 87 in Science, 68 in English, 81 in History, and 91 in Computer, totaling 422 marks with Grade B. Attendance stands at 84.27 percent. Participates in Music as an extracurricular activity.
Student S10473 named Matthew Larson, age 14, gender Male, is in Class 7. Scored 38 in Math, 48 in Science, 74 in English, 75 in History, and 95 in Computer, totaling 330 marks with Grade C. Attendance stands at 66.46 percent. Participates in Drama as an extracurricular activity.
Student S10508 named Laurie Sanchez, age 15, gender Female, is in Class 7. Scored 75 in Math, 86 in Science, 64 in English, 69 in History, and 51 in Computer, totaling 345 marks with Grade C. Attendance stands at 89.64 percent. Participates in Football as an extracurricular activity.
Student S10514 named Dr. Angel Medina, age 10, gender Male, is in Class 7. Scored 34 in Math, 40 in Science, 53 in English, 80 in History, and 98 in Computer, totaling 305 marks with Grade C. Attendance stands at 83.63 percent. Participates in Music as an extracurricular activity.
Student S10521 named Melinda Perez, age 11, gender Male, is in Class 7. Scored 40 in Math, 88 in Science, 78 in English, 30 in History, and 58 in Computer, totaling 294 marks with Grade D. Attendance stands at 62.63 percent. Participates in None as an extracurricular activity.
Student S10524 named Julie Carson, age 15, gender Female, is in Class 7. Scored 43 in Math, 41 in Science, 81 in English, 42 in History, and 64 in Computer, totaling 271 marks with Grade D. Attendance stands at 82.87 percent. Participates in Music as an extracurricular activity.
Student S10545 named Gregory Smith, age 16, gender Female, is in Class 7. Scored 80 in Math, 55 in Science, 76 in English, 48 in History, and 33 in Computer, totaling 292 marks with Grade D. Attendance stands at 78.20 percent. Participates in Debate as an extracurricular activity.
Student S10547 named Kristen Jones, age 12, gender Male, is in Class 7. Scored 88 in Math, 45 in Science, 53 in English, 97 in History, and 95 in Computer, totaling 378 marks with Grade C. Attendance stands at 84.85 percent. Participates in None as an extracurricular activity.
Student S10579 named Jessica Daniel, age 16, gender Female, is in Class 7. Scored 32 in Math, 45 in Science, 36 in English, 50 in History, and 32 in Computer, totaling 195 marks with Grade F. Attendance stands at 75.38 percent. Participates in Drama as an extracurricular activity.
Student S10586 named Samuel Welch, age 10, gender Male, is in Class 7. Scored 42 in Math, 61 in Science, 89 in English, 87 in History, and 31 in Computer, totaling 310 marks with Grade C. Attendance stands at 62.78 percent. Participates in Dance as an extracurricular activity.
Student S10598 named Gerald Williams, age 14, gender Male, is in Class 7. Scored 63 in Math, 52 in Science, 83 in English, 86 in History, and 86 in Computer, totaling 370 marks with Grade C. Attendance stands at 91.08 percent. Participates in Football as an extracurricular activity.
Student S10614 named Kevin Gonzalez, age 10, gender Male, is in Class 7. Scored 87 in Math, 78 in Science, 31 in English, 76 in History, and 55 in Computer, totaling 327 marks with Grade C. Attendance stands at 62.47 percent. Participates in Drama as an extracurricular activity.
Student S10618 named Michelle Cuevas, age 15, gender Male, is in Class 7. Scored 68 in Math, 58 in Science, 83 in English, 85 in History, and 56 in Computer, totaling 350 marks with Grade C. Attendance stands at 63.47 percent. Participates in None as an extracurricular activity.
Student S10635 named Samuel White, age 12, gender Female, is in Class 7. Scored 64 in Math, 41 in Science, 67 in English, 91 in History, and 49 in Computer, totaling 312 marks with Grade C. Attendance stands at 87.79 percent. Participates in None as an extracurricular activity.
Student S10643 named Manuel Hodges, age 17, gender Female, is in Class 7. Scored 69 in Math, 84 in Science, 41 in English, 68 in History, and 59 in Computer, totaling 321 marks with Grade C. Attendance stands at 89.48 percent. Participates in Drama as an extracurricular activity.
Student S10645 named Brandon Robinson, age 15, gender Female, is in Class 7. Scored 65 in Math, 88 in Science, 65 in English, 82 in History, and 67 in Computer, totaling 367 marks with Grade C. Attendance stands at 90.13 percent. Participates in Dance as an extracurricular activity.
Student S10649 named Erin Mcgrath, age 12, gender Female, is in Class 7. Scored 86 in Math, 46 in Science, 63 in English, 34 in History, and 40 in Computer, totaling 269 marks with Grade D. Attendance stands at 84.60 percent. Participates in Drama as an extracurricular activity.
Student S10657 named Ernest Robinson, age 15, gender Male, is in Class 7. Scored 87 in Math, 39 in Science, 34 in English, 89 in History, and 98 in Computer, totaling 347 marks with Grade C. Attendance stands at 64.46 percent. Participates in None as an extracurricular activity.
Student S10661 named Rebecca Wiley, age 15, gender Female, is in Class 7. Scored 33 in Math, 98 in Science, 61 in English, 46 in History, and 94 in Computer, totaling 332 marks with Grade C. Attendance stands at 85.70 percent. Participates in Dance as an extracurricular activity.
Student S10666 named Ryan Graham, age 13, gender Female, is in Class 7. Scored 60 in Math, 86 in Science, 65 in English, 59 in History, and 81 in Computer, totaling 351 marks with Grade C. Attendance stands at 97.37 percent. Participates in Football as an extracurricular activity.
Student S10672 named Eric Scott, age 15, gender Male, is in Class 7. Scored 35 in Math, 50 in Science, 50 in English, 53 in History, and 60 in Computer, totaling 248 marks with Grade D. Attendance stands at 61.21 percent. Participates in Music as an extracurricular activity.
Student S10679 named Rodney Meyers, age 11, gender Male, is in Class 7. Scored 97 in Math, 57 in Science, 65 in English, 50 in History, and 47 in Computer, totaling 316 marks with Grade C. Attendance stands at 95.16 percent. Participates in None as an extracurricular activity.
Student S10685 named William Good, age 16, gender Male, is in Class 7. Scored 72 in Math, 59 in Science, 97 in English, 81 in History, and 46 in Computer, totaling 355 marks with Grade C. Attendance stands at 92.70 percent. Participates in Debate as an extracurricular activity.
Student S10691 named Nicole Hanson, age 16, gender Female, is in Class 7. Scored 36 in Math, 50 in Science, 38 in English, 51 in History, and 70 in Computer, totaling 245 marks with Grade D. Attendance stands at 87.09 percent. Participates in Music as an extracurricular activity.
Student S10706 named Wendy Jones, age 14, gender Male, is in Class 7. Scored 94 in Math, 32 in Science, 73 in English, 69 in History, and 39 in Computer, totaling 307 marks with Grade C. Attendance stands at 63.39 percent. Participates in Dance as an extracurricular activity.
Student S10707 named Joseph Williams, age 10, gender Male, is in Class 7. Scored 86 in Math, 52 in Science, 36 in English, 85 in History, and 69 in Computer, totaling 328 marks with Grade C. Attendance stands at 65.18 percent. Participates in Drama as an extracurricular activity.
Student S10713 named Allison Larson, age 13, gender Male, is in Class 7. Scored 84 in Math, 94 in Science, 75 in English, 87 in History, and 56 in Computer, totaling 396 marks with Grade C. Attendance stands at 83.15 percent. Participates in Dance as an extracurricular activity.
Student S10721 named George Lopez, age 10, gender Male, is in Class 7. Scored 30 in Math, 74 in Science, 30 in English, 30 in History, and 75 in Computer, totaling 239 marks with Grade D. Attendance stands at 74.17 percent. Participates in None as an extracurricular activity.
Student S10727 named Ashley Allen, age 12, gender Male, is in Class 7. Scored 66 in Math, 77 in Science, 36 in English, 38 in History, and 84 in Computer, totaling 301 marks with Grade C. Attendance stands at 90.56 percent. Participates in Music as an extracurricular activity.
Student S10739 named Julie Tyler, age 17, gender Female, is in Class 7. Scored 95 in Math, 39 in Science, 56 in English, 84 in History, and 88 in Computer, totaling 362 marks with Grade C. Attendance stands at 94.81 percent. Participates in Music as an extracurricular activity.
Student S10742 named Elizabeth Murphy, age 15, gender Female, is in Class 7. Scored 89 in Math, 62 in Science, 41 in English, 45 in History, and 74 in Computer, totaling 311 marks with Grade C. Attendance stands at 80.78 percent. Participates in Debate as an extracurricular activity.
Student S10750 named Amy Cochran, age 11, gender Female, is in Class 7. Scored 38 in Math, 83 in Science, 78 in English, 80 in History, and 30 in Computer, totaling 309 marks with Grade C. Attendance stands at 82.82 percent. Participates in Football as an extracurricular activity.
Student S10760 named Robert Summers, age 13, gender Male, is in Class 7. Scored 84 in Math, 75 in Science, 61 in English, 91 in History, and 86 in Computer, totaling 397 marks with Grade C. Attendance stands at 63.47 percent. Participates in Drama as an extracurricular activity.
Student S10767 named Mary Ochoa, age 11, gender Female, is in Class 7. Scored 96 in Math, 84 in Science, 59 in English, 32 in History, and 34 in Computer, totaling 305 marks with Grade C. Attendance stands at 91.50 percent. Participates in Music as an extracurricular activity.
Student S10772 named Mary Thompson, age 12, gender Female, is in Class 7. Scored 58 in Math, 68 in Science, 33 in English, 88 in History, and 78 in Computer, totaling 325 marks with Grade C. Attendance stands at 90.12 percent. Participates in Drama as an extracurricular activity.
Student S10775 named Gregory Smith, age 12, gender Female, is in Class 7. Scored 73 in Math, 71 in Science, 84 in English, 53 in History, and 38 in Computer, totaling 319 marks with Grade C. Attendance stands at 77.22 percent. Participates in Drama as an extracurricular activity.
Student S10778 named Robert Gomez, age 16, gender Male, is in Class 7. Scored 67 in Math, 56 in Science, 64 in English, 34 in History, and 74 in Computer, totaling 295 marks with Grade D. Attendance stands at 67.07 percent. Participates in Debate as an extracurricular activity.
Student S10780 named Shannon James, age 17, gender Female, is in Class 7. Scored 37 in Math, 92 in Science, 67 in English, 34 in History, and 82 in Computer, totaling 312 marks with Grade C. Attendance stands at 74.49 percent. Participates in Football as an extracurricular activity.
Student S10794 named Kimberly Haas, age 17, gender Female, is in Class 7. Scored 32 in Math, 62 in Science, 40 in English, 80 in History, and 93 in Computer, totaling 307 marks with Grade C. Attendance stands at 82.19 percent. Participates in Drama as an extracurricular activity.
Student S10812 named Mary Melendez, age 10, gender Male, is in Class 7. Scored 31 in Math, 94 in Science, 65 in English, 50 in History, and 60 in Computer, totaling 300 marks with Grade D. Attendance stands at 90.67 percent. Participates in Music as an extracurricular activity.
Student S10819 named Kimberly Williams, age 13, gender Male, is in Class 7. Scored 89 in Math, 36 in Science, 85 in English, 61 in History, and 49 in Computer, totaling 320 marks with Grade C. Attendance stands at 74.18 percent. Participates in Dance as an extracurricular activity.
Student S10825 named Angela Brown, age 14, gender Female, is in Class 7. Scored 72 in Math, 85 in Science, 87 in English, 60 in History, and 82 in Computer, totaling 386 marks with Grade C. Attendance stands at 61.41 percent. Participates in Dance as an extracurricular activity.
Student S10828 named Steven Cooper, age 15, gender Female, is in Class 7. Scored 98 in Math, 37 in Science, 74 in English, 50 in History, and 86 in Computer, totaling 345 marks with Grade C. Attendance stands at 68.51 percent. Participates in Drama as an extracurricular activity.
Student S10835 named Jesus Smith, age 13, gender Male, is in Class 7. Scored 97 in Math, 81 in Science, 46 in English, 66 in History, and 74 in Computer, totaling 364 marks with Grade C. Attendance stands at 72.30 percent. Participates in None as an extracurricular activity.
Student S10838 named Justin Parker, age 10, gender Male, is in Class 7. Scored 43 in Math, 48 in Science, 58 in English, 75 in History, and 76 in Computer, totaling 300 marks with Grade D. Attendance stands at 82.94 percent. Participates in Music as an extracurricular activity.
Student S10841 named Erika Andrews, age 13, gender Male, is in Class 7. Scored 65 in Math, 54 in Science, 94 in English, 95 in History, and 45 in Computer, totaling 353 marks with Grade C. Attendance stands at 96.59 percent. Participates in None as an extracurricular activity.
Student S10845 named Steven Anderson, age 14, gender Male, is in Class 7. Scored 34 in Math, 35 in Science, 99 in English, 81 in History, and 46 in Computer, totaling 295 marks with Grade D. Attendance stands at 76.82 percent. Participates in Drama as an extracurricular activity.
Student S10846 named Christine Callahan, age 16, gender Male, is in Class 7. Scored 75 in Math, 40 in Science, 97 in English, 61 in History, and 71 in Computer, totaling 344 marks with Grade C. Attendance stands at 97.17 percent. Participates in Debate as an extracurricular activity.
Student S10848 named James Bailey, age 10, gender Male, is in Class 7. Scored 43 in Math, 56 in Science, 30 in English, 52 in History, and 51 in Computer, totaling 232 marks with Grade D. Attendance stands at 67.63 percent. Participates in Music as an extracurricular activity.
Student S10850 named Douglas Arnold, age 10, gender Female, is in Class 7. Scored 82 in Math, 55 in Science, 44 in English, 77 in History, and 79 in Computer, totaling 337 marks with Grade C. Attendance stands at 85.67 percent. Participates in Debate as an extracurricular activity.
Student S10855 named Thomas Johnson, age 12, gender Male, is in Class 7. Scored 73 in Math, 93 in Science, 32 in English, 37 in History, and 99 in Computer, totaling 334 marks with Grade C. Attendance stands at 89.96 percent. Participates in None as an extracurricular activity.
Student S10875 named Richard French, age 17, gender Male, is in Class 7. Scored 86 in Math, 46 in Science, 33 in English, 78 in History, and 93 in Computer, totaling 336 marks with Grade C. Attendance stands at 67.06 percent. Participates in Music as an extracurricular activity.
Student S10879 named Glenn Curtis, age 15, gender Male, is in Class 7. Scored 45 in Math, 70 in Science, 39 in English, 67 in History, and 32 in Computer, totaling 253 marks with Grade D. Attendance stands at 78.18 percent. Participates in Music as an extracurricular activity.
Student S10886 named Ashley Mccall, age 15, gender Female, is in Class 7. Scored 57 in Math, 86 in Science, 66 in English, 43 in History, and 65 in Computer, totaling 317 marks with Grade C. Attendance stands at 81.45 percent. Participates in Debate as an extracurricular activity.
Student S10893 named Katherine Brooks, age 16, gender Female, is in Class 7. Scored 89 in Math, 97 in Science, 92 in English, 38 in History, and 45 in Computer, totaling 361 marks with Grade C. Attendance stands at 99.14 percent. Participates in Dance as an extracurricular activity.
Student S10894 named Elizabeth Johnson, age 15, gender Female, is in Class 7. Scored 45 in Math, 78 in Science, 30 in English, 97 in History, and 83 in Computer, totaling 333 marks with Grade C. Attendance stands at 96.36 percent. Participates in Football as an extracurricular activity.
Student S10904 named Amanda Bryant, age 10, gender Male, is in Class 7. Scored 87 in Math, 35 in Science, 94 in English, 58 in History, and 34 in Computer, totaling 308 marks with Grade C. Attendance stands at 90.81 percent. Participates in Music as an extracurricular activity.
Student S10929 named Corey Thomas, age 14, gender Male, is in Class 7. Scored 65 in Math, 84 in Science, 56 in English, 44 in History, and 50 in Computer, totaling 299 marks with Grade D. Attendance stands at 87.99 percent. Participates in Drama as an extracurricular activity.
Student S10932 named Peter Johnson, age 13, gender Female, is in Class 7. Scored 50 in Math, 58 in Science, 96 in English, 48 in History, and 35 in Computer, totaling 287 marks with Grade D. Attendance stands at 82.10 percent. Participates in None as an extracurricular activity.
Student S10937 named Daniel Ruiz, age 12, gender Male, is in Class 7. Scored 70 in Math, 50 in Science, 31 in English, 97 in History, and 64 in Computer, totaling 312 marks with Grade C. Attendance stands at 94.95 percent. Participates in Music as an extracurricular activity.
Student S10941 named Ashley Smith, age 14, gender Female, is in Class 7. Scored 71 in Math, 99 in Science, 74 in English, 89 in History, and 46 in Computer, totaling 379 marks with Grade C. Attendance stands at 88.64 percent. Participates in Music as an extracurricular activity.
Student S10956 named Adam Smith, age 16, gender Female, is in Class 7. Scored 60 in Math, 75 in Science, 85 in English, 37 in History, and 94 in Computer, totaling 351 marks with Grade C. Attendance stands at 63.49 percent. Participates in Football as an extracurricular activity.
Student S10964 named Micheal Woods, age 17, gender Female, is in Class 7. Scored 54 in Math, 35 in Science, 62 in English, 33 in History, and 86 in Computer, totaling 270 marks with Grade D. Attendance stands at 90.93 percent. Participates in Music as an extracurricular activity.
Student S10971 named Laura Contreras, age 13, gender Female, is in Class 7. Scored 86 in Math, 89 in Science, 89 in English, 61 in History, and 80 in Computer, totaling 405 marks with Grade B. Attendance stands at 63.50 percent. Participates in Dance as an extracurricular activity.
Student S10985 named David Pacheco, age 12, gender Female, is in Class 7. Scored 50 in Math, 36 in Science, 50 in English, 75 in History, and 57 in Computer, totaling 268 marks with Grade D. Attendance stands at 81.10 percent. Participates in None as an extracurricular activity.
Student S10997 named Jesse Mccarthy, age 14, gender Female, is in Class 7. Scored 45 in Math, 41 in Science, 64 in English, 89 in History, and 96 in Computer, totaling 335 marks with Grade C. Attendance stands at 79.08 percent. Participates in Music as an extracurricular activity.
Student S10998 named Sandra Rodriguez, age 16, gender Male, is in Class 7. Scored 67 in Math, 55 in Science, 75 in English, 69 in History, and 74 in Computer, totaling 340 marks with Grade C. Attendance stands at 61.66 percent. Participates in Debate as an extracurricular activity.
Student S11001 named Allison Grant, age 10, gender Female, is in Class 7. Scored 98 in Math, 85 in Science, 94 in English, 95 in History, and 69 in Computer, totaling 441 marks with Grade B. Attendance stands at 65.49 percent. Participates in Music as an extracurricular activity.
Student S11011 named Jeffrey Jacobson, age 17, gender Male, is in Class 7. Scored 93 in Math, 87 in Science, 65 in English, 57 in History, and 63 in Computer, totaling 365 marks with Grade C. Attendance stands at 80.90 percent. Participates in Music as an extracurricular activity.
