Student S10005 named Tanya Juarez, age 13, gender Male, is in Class 6. Scored 80 in Math, 95 in Science, 38 in English, 66 in History, and 31 in Computer, totaling 310 marks with Grade C. Attendance stands at 72.87 percent. Participates in None as an extracurricular activity.
Student S10454 named Sarah Jenkins, age 10, gender Male, is in Class 6. Scored 44 in Math, 58 in Science, 58 in English, 60 in History, and 78 in Computer, totaling 298 marks with Grade D. Attendance stands at 66.20 percent. Participates in Debate as an extracurricular activity.
Student S10458 named Heather Campbell, age 11, gender Male, is in Class 6. Scored 34 in Math, 44 in Science, 94 in English, 50 in History, and 62 in Computer, totaling 284 marks with Grade D. Attendance stands at 71.57 percent. Participates in Debate as an extracurricular activity.
Student S10459 named Carla Richardson, age 11, gender Male, is in Class 6. Scored 57 in Math, 51 in Science, 57 in English, 73 in History, and 47 in Computer, totaling 285 marks with Grade D. Attendance stands at 88.99 percent. Participates in Football as an extracurricular activity.
Student S10462 named Lawrence James, age 11, gender Female, is in Class 6. Scored 39 in Math, 72 in Science, 60 in English, 85 in History, and 33 in Computer, totaling 289 marks with Grade D. Attendance stands at 66.30 percent. Participates in Dance as an extracurricular activity.
Student S10466 named Patricia Harris, age 12, gender Female, is in Class 6. Scored 97 in Math, 35 in Science, 56 in English, 56 in History, and 63 in Computer, totaling 307 marks with Grade C. Attendance stands at 65.62 percent. Participates in Drama as an extracurricular activity.
Student S10467 named Robert Grant, age 16, gender Female, is in Class 6. Scored 61 in Math, 75 in Science, 89 in English, 55 in History, and 98 in Computer, totaling 378 marks with Grade C. Attendance stands at 91.83 percent. Participates in Football as an extracurricular activity.
Student S10481 named Rachel Mayer, age 17, gender Female, is in Class 6. Scored 39 in Math, 83 in Science, 58 in English, 40 in History, and 79 in Computer, totaling 299 marks with Grade D. Attendance stands at 64.89 percent. Participates in Football as an extracurricular activity.
Student S10485 named Kara Woods, age 13, gender Female, is in Class 6. Scored 51 in Math, 69 in Science, 99 in English, 64 in History, and 64 in Computer, totaling 347 marks with Grade C. Attendance stands at 68.70 percent. Participates in Dance as an extracurricular activity.
Student S10488 named Hannah Vincent, age 12, gender Male, is in Class 6. Scored 72 in Math, 64 in Science, 52 in English, 54 in History, and 87 in Computer, totaling 329 marks with Grade C. Attendance stands at 77.15 percent. Participates in Dance as an extracurricular activity.
Student S10511 named Rachel Harris, age 17, gender Male, is in Class 6. Scored 55 in Math, 79 in Science, 75 in English, 45 in History, and 95 in Computer, totaling 349 marks with Grade C. Attendance stands at 63.34 percent. Participates in Football as an extracurricular activity.
Student S10513 named Samuel Alvarado, age 17, gender Female, is in Class 6. Scored 53 in Math, 50 in Science, 85 in English, 63 in History, and 50 in Computer, totaling 301 marks with Grade C. Attendance stands at 90.01 percent. Participates in Drama as an extracurricular activity.
Student S10516 named Mrs. Alexandra Gray, age 14, gender Female, is in Class 6. Scored 67 in Math, 94 in Science, 30 in English, 42 in History, and 62 in Computer, totaling 295 marks with Grade D. Attendance stands at 86.93 percent. Participates in None as an extracurricular activity.
Student S10519 named Carrie Knight, age 16, gender Male, is in Class 6. Scored 68 in Math, 49 in Science, 59 in English, 40 in History, and 85 in Computer, totaling 301 marks with Grade C. Attendance stands at 75.44 percent. Participates in Football as an extracurricular activity.
Student S10520 named Deborah Edwards, age 17, gender Male, is in Class 6. Scored 64 in Math, 46 in Science, 36 in English, 36 in History, and 44 in Computer, totaling 226 marks with Grade D. Attendance stands at 80.11 percent. Participates in Debate as an extracurricular activity.
Student S10535 named Bonnie Clarke, age 14, gender Male, is in Class 6. Scored 91 in Math, 49 in Science, 87 in English, 83 in History, and 97 in Computer, totaling 407 marks with Grade B. Attendance stands at 78.45 percent. Participates in Music as an extracurricular activity.
Student S10543 named Jennifer Ramirez, age 17, gender Male, is in Class 6. Scored 49 in Math, 79 in Science, 96 in English, 89 in History, and 43 in Computer, totaling 356 marks with Grade C. Attendance stands at 87.76 percent. Participates in Music as an extracurricular activity.
Student S10555 named Rebecca Garcia PhD, age 16, gender Male, is in Class 6. Scored 91 in Math, 65 in Science, 57 in English, 35 in History, and 56 in Computer, totaling 304 marks with Grade C. Attendance stands at 74.42 percent. Participates in Drama as an extracurricular activity.
Student S10567 named Julie Hodge, age 17, gender Male, is in Class 6. Scored 80 in Math, 95 in Science, 38 in English, 46 in History, and 34 in Computer, totaling 293 marks with Grade D. Attendance stands at 88.64 percent. Participates in Football as an extracurricular activity.
Student S10572 named Angela Watson, age 15, gender Male, is in Class 6. Scored 58 in Math, 88 in Science, 54 in English, 71 in History, and 52 in Computer, totaling 323 marks with Grade C. Attendance stands at 78.81 percent. Participates in None as an extracurricular activity.
Student S10583 named Luis Guerrero, age 13, gender Female, is in Class 6. Scored 42 in Math, 69 in Science, 65 in English, 39 in History, and 87 in Computer, totaling 302 marks with Grade C. Attendance stands at 92.28 percent. Participates in Debate as an extracurricular activity.
Student S10592 named Frank Green, age 10, gender Male, is in Class 6. Scored 39 in Math, 65 in Science, 85 in English, 80 in History, and 68 in Computer, totaling 337 marks with Grade C. Attendance stands at 72.92 percent. Participates in Debate as an extracurricular activity.
Student S10606 named Justin Miller, age 14, gender Male, is in Class 6. Scored 95 in Math, 99 in Science, 83 in English, 57 in History, and 61 in Computer, totaling 395 marks with Grade C. Attendance stands at 66.57 percent. Participates in Music as an extracurricular activity.
Student S10615 named Brenda Price, age 12, gender Female, is in Class 6. Scored 55 in Math, 52 in Science, 50 in English, 34 in History, and 61 in Computer, totaling 252 marks with Grade D. Attendance stands at 96.17 percent. Participates in Football as an extracurricular activity.
Student S10616 named Jessica Benton, age 11, gender Female, is in Class 6. Scored 92 in Math, 82 in Science, 73 in English, 76 in History, and 72 in Computer, totaling 395 marks with Grade C. Attendance stands at 99.64 percent. Participates in Debate as an extracurricular activity.
Student S10636 named David Mathews, age 16, gender Female, is in Class 6. Scored 73 in Math, 59 in Science, 92 in English, 60 in History, and 99 in Computer, totaling 383 marks with Grade C. Attendance stands at 73.55 percent. Participates in Drama as an extracurricular activity.
Student S10642 named Paula Burton, age 14, gender Female, is in Class 6. Scored 46 in Math, 63 in Science, 53 in English, 96 in History, and 64 in Computer, totaling 322 marks with Grade C. Attendance stands at 76.51 percent. Participates in Dance as an extracurricular activity.
Student S10647 named Antonio Aguilar, age 17, gender Female, is in Class 6. Scored 39 in Math, 46 in Science, 66 in English, 77 in History, and 69 in Computer, totaling 297 marks with Grade D. Attendance stands at 95.92 percent. Participates in Debate as an extracurricular activity.
Student S10650 named Timothy Rogers, age 13, gender Female, is in Class 6. Scored 33 in Math, 45 in Science, 85 in English, 33 in History, and 58 in Computer, totaling 254 marks with Grade D. Attendance stands at 63.54 percent. Participates in Music as an extracurricular activity.
Student S10660 named Robert Chapman, age 13, gender Female, is in Class 6. Scored 73 in Math, 65 in Science, 95 in English, 50 in History, and 49 in Computer, totaling 332 marks with Grade C. Attendance stands at 66.35 percent. Participates in Dance as an extracurricular activity.
Student S10675 named Leslie Smith, age 13, gender Male, is in Class 6. Scored 98 in Math, 57 in Science, 64 in English, 69 in History, and 65 in Computer, totaling 353 marks with Grade C. Attendance stands at 90.99 percent. Participates in Drama as an extracurricular activity.
Student S10676 named Charles Johnson, age 17, gender Male, is in Class 6. Scored 67 in Math, 43 in Science, 79 in English, 62 in History, and 94 in Computer, totaling 345 marks with Grade C. Attendance stands at 65.96 percent. Participates in Football as an extracurricular activity.
Student S10680 named Elizabeth Martin, age 16, gender Male, is in Class 6. Scored 66 in Math, 86 in Science, 84 in English, 97 in History, and 41 in Computer, totaling 374 marks with Grade C. Attendance stands at 61.91 percent. Participates in Music as an extracurricular activity.
Student S10683 named Shane Miller, age 10, gender Female, is in Class 6. Scored 86 in Math, 51 in Science, 54 in English, 52 in History, and 45 in Computer, totaling 288 marks with Grade D. Attendance stands at 93.46 percent. Participates in Football as an extracurricular activity.
Student S10704 named Angela Delgado, age 11, gender Female, is in Class 6. Scored 98 in Math, 97 in Science, 82 in English, 71 in History, and 92 in Computer, totaling 440 marks with Grade B. Attendance stands at 69.44 percent. Participates in Dance as an extracurricular activity.
Student S10709 named Renee Miller, age 14, gender Male, is in Class 6. Scored 82 in Math, 74 in Science, 51 in English, 97 in History, and 70 in Computer, totaling 374 marks with Grade C. Attendance stands at 91.08 percent. Participates in Dance as an extracurricular activity.
Student S10711 named Renee Spence, age 11, gender Female, is in Class 6. Scored 46 in Math, 98 in Science, 51 in English, 82 in History, and 35 in Computer, totaling 312 marks with Grade C. Attendance stands at 69.57 percent. Participates in Music as an extracurricular activity.
Student S10723 named Paula Richardson, age 11, gender Female, is in Class 6. Scored 79 in Math, 88 in Science, 73 in English, 32 in History, and 34 in Computer, totaling 306 marks with Grade C. Attendance stands at 80.00 percent. Participates in None as an extracurricular activity.
Student S10731 named Rodney Johnson, age 11, gender Male, is in Class 6. Scored 38 in Math, 96 in Science, 50 in English, 44 in History, and 89 in Computer, totaling 317 marks with Grade C. Attendance stands at 82.36 percent. Participates in Debate as an extracurricular activity.
Student S10738 named Martin Moreno, age 17, gender Female, is in Class 6. Scored 48 in Math, 83 in Science, 39 in English, 90 in History, and 75 in Computer, totaling 335 marks with Grade C. Attendance stands at 83.31 percent. Participates in Football as an extracurricular activity.
Student S10749 named April Harris, age 17, gender Male, is in Class 6. Scored 37 in Math, 91 in Science, 74 in English, 59 in History, and 90 in Computer, totaling 351 marks with Grade C. Attendance stands at 63.08 percent. Participates in Music as an extracurricular activity.
Student S10752 named Patricia Mcfarland, age 14, gender Female, is in Class 6. Scored 81 in Math, 46 in Science, 49 in English, 35 in History, and 96 in Computer, totaling 307 marks with Grade C. Attendance stands at 61.24 percent. Participates in Drama as an extracurricular activity.
Student S10774 named Elizabeth Fuller, age 10, gender Female, is in Class 6. Scored 83 in Math, 83 in Science, 90 in English, 62 in History, and 71 in Computer, totaling 389 marks with Grade C. Attendance stands at 70.03 percent. Participates in Football as an extracurricular activity.
Student S10792 named Daniel Mcpherson, age 16, gender Female, is in Class 6. Scored 94 in Math, 32 in Science, 81 in English, 41 in History, and 68 in Computer, totaling 316 marks with Grade C. Attendance stands at 82.31 percent. Participates in Dance as an extracurricular activity.
Student S10796 named Pamela Smith, age 13, gender Male, is in Class 6. Scored 43 in Math, 76 in Science, 74 in English, 48 in History, and 58 in Computer, totaling 299 marks with Grade D. Attendance stands at 70.38 percent. Participates in None as an extracurricular activity.
Student S10798 named Lauren Smith, age 12, gender Female, is in Class 6. Scored 42 in Math, 56 in Science, 45 in English, 64 in History, and 51 in Computer, totaling 258 marks with Grade D. Attendance stands at 65.76 percent. Participates in Dance as an extracurricular activity.
Student S10802 named Carlos Woods, age 10, gender Male, is in Class 6. Scored 33 in Math, 44 in Science, 83 in English, 83 in History, and 86 in Computer, totaling 329 marks with Grade C. Attendance stands at 72.11 percent. Participates in None as an extracurricular activity.
Student S10804 named Jerry Gonzalez, age 11, gender Male, is in Class 6. Scored 42 in Math, 73 in Science, 40 in English, 46 in History, and 33 in Computer, totaling 234 marks with Grade D. Attendance stands at 78.84 percent. Participates in Drama as an extracurricular activity.
Student S10814 named Jonathan Francis, age 12, gender Female, is in Class 6. Scored 54 in Math, 92 in Science, 62 in English, 61 in History, and 95 in Computer, totaling 364 marks with Grade C. Attendance stands at 70.06 percent. Participates in Debate as an extracurricular activity.
Student S10816 named Victoria Banks DDS, age 14, gender Male, is in Class 6. Scored 66 in Math, 36 in Science, 73 in English, 41 in History, and 36 in Computer, totaling 252 marks with Grade D. Attendance stands at 61.87 percent. Participates in Football as an extracurricular activity.
Student S10822 named Joshua Jordan, age 17, gender Male, is in Class 6. Scored 89 in Math, 46 in Science, 84 in English, 34 in History, and 44 in Computer, totaling 297 marks with Grade D. Attendance stands at 88.97 percent. Participates in Football as an extracurricular activity.
Student S10837 named Donald Martin, age 12, gender Male, is in Class 6. Scored 90 in Math, 77 in Science, 39 in English, 90 in History, and 87 in Computer, totaling 383 marks with Grade C. Attendance stands at 98.29 percent. Participates in Dance as an extracurricular activity.
Student S10843 named Erin Jackson, age 17, gender Female, is in Class 6. Scored 70 in Math, 62 in Science, 84 in English, 39 in History, and 52 in Computer, totaling 307 marks with Grade C. Attendance stands at 96.32 percent. Participates in Debate as an extracurricular activity.
Student S10847 named Paula Malone, age 10, gender Male, is in Class 6. Scored 88 in Math, 57 in Science, 61 in English, 64 in History, and 69 in Computer, totaling 339 marks with Grade C. Attendance stands at 84.17 percent. Participates in Debate as an extracurricular activity.
Student S10857 named Dana Vargas, age 17, gender Male, is in Class 6. Scored 68 in Math, 53 in Science, 35 in English, 62 in History, and 52 in Computer, totaling 270 marks with Grade D. Attendance stands at 89.29 percent. Participates in Debate as an extracurricular activity.
Student S10863 named Ryan Cooper, age 13, gender Male, is in Class 6. Scored 58 in Math, 60 in Science, 30 in English, 75 in History, and 83 in Computer, totaling 306 marks with Grade C. Attendance stands at 63.14 percent. Participates in Drama as an extracurricular activity.
Student S10865 named Tanya Meyers, age 13, gender Male, is in Class 6. Scored 87 in Math, 39 in Science, 61 in English, 98 in History, and 56 in Computer, totaling 341 marks with Grade C. Attendance stands at 74.31 percent. Participates in Debate as an extracurricular activity.
Student S10867 named Anthony Osborn, age 13, gender Female, is in Class 6. Scored 79 in Math, 94 in Science, 99 in English, 37 in History, and 86 in Computer, totaling 395 marks with Grade C. Attendance stands at 75.32 percent. Participates in Debate as an extracurricular activity.
Student S10870 named Troy Watson, age 13, gender Female, is in Class 6. Scored 77 in Math, 45 in Science, 49 in English, 38 in History, and 30 in Computer, totaling 239 marks with Grade D. Attendance stands at 92.49 percent. Participates in Drama as an extracurricular activity.
Student S10877 named Matthew Perez, age 14, gender Male, is in Class 6. Scored 98 in Math, 70 in Science, 98 in English, 34 in History, and 85 in Computer, totaling 385 marks with Grade C. Attendance stands at 84.28 percent. Participates in Drama as an extracurricular activity.
Student S10891 named Lindsey Munoz, age 16, gender Female, is in Class 6. Scored 40 in Math, 59 in Science, 96 in English, 98 in History, and 87 in Computer, totaling 380 marks with Grade C. Attendance stands at 67.96 percent. Participates in Music as an extracurricular activity.
Student S10899 named Tammy Garcia, age 13, gender Female, is in Class 6. Scored 82 in Math, 51 in Science, 80 in English, 67 in History, and 47 in Computer, totaling 327 marks with Grade C. Attendance stands at 75.64 percent. Participates in Music as an extracurricular activity.
Student S10909 named Kevin Hart, age 10, gender Male, is in Class 6. Scored 34 in Math, 36 in Science, 86 in English, 84 in History, and 69 in Computer, totaling 309 marks with Grade C. Attendance stands at 75.19 percent. Participates in None as an extracurricular activity.
