Student S10012 named Joseph Smith, age 12, gender Female, is in Class 10. Scored 83 in Math, 84 in Science, 37 in English, 75 in History, and 87 in Computer, totaling 366 marks with Grade C. Attendance stands at 83.67 percent. Participates in Drama as an extracurricular activity.
Student S10313 named Carmen Lee, age 15, gender Female, is in Class 10. Scored 94 in Math, 92 in Science, 64 in English, 83 in History, and 59 in Computer, totaling 392 marks with Grade C. Attendance stands at 89.02 percent. Participates in None as an extracurricular activity.
Student S10327 named Angel Reid, age 11, gender Male, is in Class 10. Scored 50 in Math, 55 in Science, 65 in English, 80 in History, and 60 in Computer, totaling 310 marks with Grade C. Attendance stands at 66.17 percent. Participates in None as an extracurricular activity.
Student S10335 named Matthew Moore, age 12, gender Male, is in Class 10. Scored 78 in Math, 36 in Science, 92 in English, 58 in History, and 98 in Computer, totaling 362 marks with Grade C. Attendance stands at 86.20 percent. Participates in Debate as an extracurricular activity.
Student S10345 named Katelyn Harris, age 16, gender Female, is in Class 10. Scored 49 in Math, 89 in Science, 42 in English, 95 in History, and 30 in Computer, totaling 305 marks with Grade C. Attendance stands at 87.83 percent. Participates in None as an extracurricular activity.
Student S10358 named Darryl Thomas, age 14, gender Male, is in Class 10. Scored 57 in Math, 94 in Science, 56 in English, 66 in History, and 45 in Computer, totaling 318 marks with Grade C. Attendance stands at 96.10 percent. Participates in None as an extracurricular activity.
Student S10373 named Charles Riggs, age 11, gender Female, is in Class 10. Scored 56 in Math, 30 in Science, 81 in English, 35 in History, and 68 in Computer, totaling 270 marks with Grade D. Attendance stands at 62.95 percent. Participates in Dance as an extracurricular activity.
Student S10382 named Lisa Walker, age 13, gender Female, is in Class 10. Scored 33 in Math, 66 in Science, 34 in English, 68 in History, and 55 in Computer, totaling 256 marks with Grade D. Attendance stands at 69.94 percent. Participates in Dance as an extracurricular activity.
Student S10384 named Michelle Gonzales, age 17, gender Female, is in Class 10. Scored 91 in Math, 52 in Science, 43 in English, 78 in History, and 75 in Computer, totaling 339 marks with Grade C. Attendance stands at 80.01 percent. Participates in Dance as an extracurricular activity.
Student S10387 named Michael Garcia, age 13, gender Female, is in Class 10. Scored 82 in Math, 60 in Science, 56 in English, 88 in History, and 55 in Computer, totaling 341 marks with Grade C. Attendance stands at 98.68 percent. Participates in Music as an extracurricular activity.
Student S10390 named Beverly Jensen, age 15, gender Male, is in Class 10. Scored 98 in Math, 56 in Science, 32 in English, 45 in History, and 51 in Computer, totaling 282 marks with Grade D. Attendance stands at 64.34 percent. Participates in Debate as an extracurricular activity.
Student S10391 named Nicholas Farrell, age 14, gender Male, is in Class 10. Scored 84 in Math, 30 in Science, 86 in English, 77 in History, and 71 in Computer, totaling 348 marks with Grade C. Attendance stands at 97.76 percent. Participates in Drama as an extracurricular activity.
Student S10399 named Meghan Valdez, age 14, gender Female, is in Class 10. Scored 98 in Math, 68 in Science, 99 in English, 46 in History, and 94 in Computer, totaling 405 marks with Grade B. Attendance stands at 62.06 percent. Participates in Drama as an extracurricular activity.
Student S10400 named Emily Jackson, age 13, gender Female, is in Class 10. Scored 99 in Math, 60 in Science, 82 in English, 84 in History, and 74 in Computer, totaling 399 marks with Grade C. Attendance stands at 74.78 percent. Participates in Debate as an extracurricular activity.
Student S10403 named Terry Branch, age 11, gender Female, is in Class 10. Scored 92 in Math, 37 in Science, 96 in English, 94 in History, and 90 in Computer, totaling 409 marks with Grade B. Attendance stands at 83.83 percent. Participates in Dance as an extracurricular activity.
Student S10407 named Connie Wood, age 13, gender Female, is in Class 10. Scored 64 in Math, 44 in Science, 91 in English, 38 in History, and 38 in Computer, totaling 275 marks with Grade D. Attendance stands at 72.41 percent. Participates in Debate as an extracurricular activity.
Student S10408 named Joshua Kim, age 16, gender Female, is in Class 10. Scored 35 in Math, 61 in Science, 44 in English, 82 in History, and 72 in Computer, totaling 294 marks with Grade D. Attendance stands at 86.81 percent. Participates in None as an extracurricular activity.
Student S10430 named Wendy Herrera, age 14, gender Female, is in Class 10. Scored 41 in Math, 57 in Science, 98 in English, 74 in History, and 60 in Computer, totaling 330 marks with Grade C. Attendance stands at 69.71 percent. Participates in Debate as an extracurricular activity.
Student S10433 named Andrew Williamson, age 15, gender Male, is in Class 10. Scored 30 in Math, 47 in Science, 40 in English, 74 in History, and 76 in Computer, totaling 267 marks with Grade D. Attendance stands at 98.62 percent. Participates in Drama as an extracurricular activity.
Student S10447 named Timothy Zavala, age 13, gender Female, is in Class 10. Scored 37 in Math, 94 in Science, 49 in English, 41 in History, and 49 in Computer, totaling 270 marks with Grade D. Attendance stands at 91.21 percent. Participates in None as an extracurricular activity.
Student S10455 named Michael Estrada, age 14, gender Male, is in Class 10. Scored 99 in Math, 95 in Science, 42 in English, 58 in History, and 30 in Computer, totaling 324 marks with Grade C. Attendance stands at 79.63 percent. Participates in Football as an extracurricular activity.
Student S10463 named Michael Kelly, age 16, gender Male, is in Class 10. Scored 66 in Math, 80 in Science, 72 in English, 94 in History, and 70 in Computer, totaling 382 marks with Grade C. Attendance stands at 82.54 percent. Participates in Football as an extracurricular activity.
Student S10469 named Austin Johnson, age 16, gender Male, is in Class 10. Scored 76 in Math, 43 in Science, 61 in English, 65 in History, and 67 in Computer, totaling 312 marks with Grade C. Attendance stands at 97.38 percent. Participates in Dance as an extracurricular activity.
Student S10476 named Ricardo Young, age 11, gender Female, is in Class 10. Scored 84 in Math, 41 in Science, 71 in English, 82 in History, and 57 in Computer, totaling 335 marks with Grade C. Attendance stands at 67.42 percent. Participates in None as an extracurricular activity.
Student S10483 named Andres Church, age 10, gender Male, is in Class 10. Scored 83 in Math, 82 in Science, 55 in English, 79 in History, and 47 in Computer, totaling 346 marks with Grade C. Attendance stands at 61.77 percent. Participates in Drama as an extracurricular activity.
Student S10484 named Cole Drake, age 11, gender Male, is in Class 10. Scored 94 in Math, 74 in Science, 86 in English, 31 in History, and 92 in Computer, totaling 377 marks with Grade C. Attendance stands at 74.35 percent. Participates in Football as an extracurricular activity.
Student S10487 named Caroline Chapman, age 14, gender Female, is in Class 10. Scored 75 in Math, 60 in Science, 70 in English, 76 in History, and 84 in Computer, totaling 365 marks with Grade C. Attendance stands at 84.64 percent. Participates in Dance as an extracurricular activity.
Student S10493 named Lori Santiago, age 13, gender Female, is in Class 10. Scored 43 in Math, 80 in Science, 89 in English, 88 in History, and 44 in Computer, totaling 344 marks with Grade C. Attendance stands at 96.29 percent. Participates in None as an extracurricular activity.
Student S10497 named Gregory Brown, age 10, gender Male, is in Class 10. Scored 32 in Math, 91 in Science, 95 in English, 35 in History, and 58 in Computer, totaling 311 marks with Grade C. Attendance stands at 88.96 percent. Participates in None as an extracurricular activity.
Student S10510 named Jeffrey Smith, age 13, gender Female, is in Class 10. Scored 56 in Math, 39 in Science, 31 in English, 82 in History, and 97 in Computer, totaling 305 marks with Grade C. Attendance stands at 97.07 percent. Participates in Debate as an extracurricular activity.
Student S10512 named Shannon Flores, age 14, gender Male, is in Class 10. Scored 97 in Math, 49 in Science, 85 in English, 75 in History, and 72 in Computer, totaling 378 marks with Grade C. Attendance stands at 79.94 percent. Participates in Debate as an extracurricular activity.
Student S10518 named Jonathan Castillo, age 17, gender Female, is in Class 10. Scored 56 in Math, 55 in Science, 71 in English, 73 in History, and 36 in Computer, totaling 291 marks with Grade D. Attendance stands at 99.96 percent. Participates in None as an extracurricular activity.
Student S10522 named Linda Mcmahon, age 15, gender Female, is in Class 10. Scored 99 in Math, 98 in Science, 80 in English, 66 in History, and 51 in Computer, totaling 394 marks with Grade C. Attendance stands at 65.96 percent. Participates in Drama as an extracurricular activity.
Student S10523 named Michael Morales, age 15, gender Male, is in Class 10. Scored 49 in Math, 66 in Science, 31 in English, 59 in History, and 94 in Computer, totaling 299 marks with Grade D. Attendance stands at 74.39 percent. Participates in None as an extracurricular activity.
Student S10530 named Joyce Brown, age 12, gender Female, is in Class 10. Scored 54 in Math, 31 in Science, 93 in English, 78 in History, and 32 in Computer, totaling 288 marks with Grade D. Attendance stands at 94.78 percent. Participates in Football as an extracurricular activity.
Student S10533 named Christine Hodge, age 11, gender Female, is in Class 10. Scored 55 in Math, 87 in Science, 71 in English, 31 in History, and 62 in Computer, totaling 306 marks with Grade C. Attendance stands at 98.98 percent. Participates in None as an extracurricular activity.
Student S10537 named Curtis Price, age 16, gender Female, is in Class 10. Scored 67 in Math, 50 in Science, 43 in English, 50 in History, and 75 in Computer, totaling 285 marks with Grade D. Attendance stands at 67.53 percent. Participates in Music as an extracurricular activity.
Student S10538 named Henry Padilla, age 14, gender Female, is in Class 10. Scored 35 in Math, 81 in Science, 78 in English, 67 in History, and 70 in Computer, totaling 331 marks with Grade C. Attendance stands at 94.53 percent. Participates in Football as an extracurricular activity.
Student S10550 named Amber Hendricks, age 10, gender Male, is in Class 10. Scored 59 in Math, 79 in Science, 74 in English, 65 in History, and 41 in Computer, totaling 318 marks with Grade C. Attendance stands at 89.39 percent. Participates in Music as an extracurricular activity.
Student S10552 named Michael Hunter, age 16, gender Male, is in Class 10. Scored 89 in Math, 56 in Science, 40 in English, 81 in History, and 67 in Computer, totaling 333 marks with Grade C. Attendance stands at 83.81 percent. Participates in Dance as an extracurricular activity.
Student S10557 named Scott Gray, age 16, gender Female, is in Class 10. Scored 80 in Math, 93 in Science, 33 in English, 52 in History, and 68 in Computer, totaling 326 marks with Grade C. Attendance stands at 95.84 percent. Participates in Debate as an extracurricular activity.
Student S10561 named Colleen Brown, age 11, gender Male, is in Class 10. Scored 31 in Math, 92 in Science, 90 in English, 61 in History, and 32 in Computer, totaling 306 marks with Grade C. Attendance stands at 63.89 percent. Participates in Dance as an extracurricular activity.
Student S10566 named Christopher Lynch, age 10, gender Male, is in Class 10. Scored 49 in Math, 54 in Science, 52 in English, 72 in History, and 35 in Computer, totaling 262 marks with Grade D. Attendance stands at 66.47 percent. Participates in Dance as an extracurricular activity.
Student S10570 named Kaylee Alvarado, age 11, gender Male, is in Class 10. Scored 60 in Math, 59 in Science, 38 in English, 72 in History, and 46 in Computer, totaling 275 marks with Grade D. Attendance stands at 77.29 percent. Participates in Dance as an extracurricular activity.
Student S10578 named Mario Porter, age 14, gender Female, is in Class 10. Scored 83 in Math, 60 in Science, 75 in English, 33 in History, and 96 in Computer, totaling 347 marks with Grade C. Attendance stands at 97.10 percent. Participates in Music as an extracurricular activity.
Student S10599 named Emily Alvarez, age 12, gender Male, is in Class 10. Scored 73 in Math, 59 in Science, 77 in English, 86 in History, and 96 in Computer, totaling 391 marks with Grade C. Attendance stands at 88.74 percent. Participates in None as an extracurricular activity.
Student S10604 named John Grimes, age 15, gender Male, is in Class 10. Scored 99 in Math, 87 in Science, 63 in English, 31 in History, and 38 in Computer, totaling 318 marks with Grade C. Attendance stands at 64.24 percent. Participates in Debate as an extracurricular activity.
Student S10609 named Jessica Ward, age 11, gender Female, is in Class 10. Scored 45 in Math, 67 in Science, 86 in English, 85 in History, and 79 in Computer, totaling 362 marks with Grade C. Attendance stands at 90.01 percent. Participates in Drama as an extracurricular activity.
Student S10620 named Rebekah Ellison, age 11, gender Male, is in Class 10. Scored 74 in Math, 64 in Science, 70 in English, 90 in History, and 90 in Computer, totaling 388 marks with Grade C. Attendance stands at 80.57 percent. Participates in Music as an extracurricular activity.
Student S10625 named Brenda Bailey, age 12, gender Male, is in Class 10. Scored 38 in Math, 90 in Science, 81 in English, 85 in History, and 59 in Computer, totaling 353 marks with Grade C. Attendance stands at 74.95 percent. Participates in Drama as an extracurricular activity.
Student S10639 named David Owens, age 17, gender Male, is in Class 10. Scored 45 in Math, 47 in Science, 83 in English, 43 in History, and 37 in Computer, totaling 255 marks with Grade D. Attendance stands at 92.40 percent. Participates in Debate as an extracurricular activity.
Student S10641 named Brenda Howe, age 14, gender Female, is in Class 10. Scored 58 in Math, 59 in Science, 83 in English, 67 in History, and 85 in Computer, totaling 352 marks with Grade C. Attendance stands at 87.56 percent. Participates in Drama as an extracurricular activity.
Student S10652 named Jessica Brown DVM, age 11, gender Male, is in Class 10. Scored 94 in Math, 55 in Science, 72 in English, 53 in History, and 64 in Computer, totaling 338 marks with Grade C. Attendance stands at 78.94 percent. Participates in None as an extracurricular activity.
Student S10656 named Sara Garcia, age 15, gender Female, is in Class 10. Scored 32 in Math, 51 in Science, 47 in English, 37 in History, and 66 in Computer, totaling 233 marks with Grade D. Attendance stands at 72.40 percent. Participates in Dance as an extracurricular activity.
Student S10662 named Guy Malone, age 11, gender Female, is in Class 10. Scored 59 in Math, 86 in Science, 80 in English, 70 in History, and 64 in Computer, totaling 359 marks with Grade C. Attendance stands at 82.27 percent. Participates in Football as an extracurricular activity.
Student S10664 named Tyler Jenkins, age 14, gender Male, is in Class 10. Scored 31 in Math, 94 in Science, 44 in English, 82 in History, and 86 in Computer, totaling 337 marks with Grade C. Attendance stands at 78.70 percent. Participates in None as an extracurricular activity.
Student S10670 named Deborah Oliver, age 13, gender Male, is in Class 10. Scored 78 in Math, 40 in Science, 73 in English, 40 in History, and 84 in Computer, totaling 315 marks with Grade C. Attendance stands at 95.77 percent. Participates in Debate as an extracurricular activity.
Student S10673 named Nicholas Rice, age 13, gender Male, is in Class 10. Scored 70 in Math, 71 in Science, 32 in English, 33 in History, and 79 in Computer, totaling 285 marks with Grade D. Attendance stands at 73.04 percent. Participates in Dance as an extracurricular activity.
Student S10688 named Stephanie Conway, age 17, gender Male, is in Class 10. Scored 40 in Math, 72 in Science, 96 in English, 46 in History, and 59 in Computer, totaling 313 marks with Grade C. Attendance stands at 64.63 percent. Participates in Football as an extracurricular activity.
Student S10695 named Jason Washington, age 16, gender Female, is in Class 10. Scored 86 in Math, 66 in Science, 98 in English, 98 in History, and 76 in Computer, totaling 424 marks with Grade B. Attendance stands at 88.37 percent. Participates in Drama as an extracurricular activity.
Student S10696 named Richard Hinton, age 10, gender Female, is in Class 10. Scored 84 in Math, 83 in Science, 94 in English, 46 in History, and 67 in Computer, totaling 374 marks with Grade C. Attendance stands at 90.08 percent. Participates in Music as an extracurricular activity.
Student S10697 named Anthony Martinez, age 11, gender Male, is in Class 10. Scored 65 in Math, 40 in Science, 69 in English, 66 in History, and 49 in Computer, totaling 289 marks with Grade D. Attendance stands at 66.14 percent. Participates in Dance as an extracurricular activity.
Student S10701 named Jennifer Johnston, age 15, gender Male, is in Class 10. Scored 74 in Math, 61 in Science, 48 in English, 38 in History, and 71 in Computer, totaling 292 marks with Grade D. Attendance stands at 85.30 percent. Participates in Music as an extracurricular activity.
Student S10705 named Janice Reese, age 11, gender Male, is in Class 10. Scored 59 in Math, 80 in Science, 91 in English, 46 in History, and 97 in Computer, totaling 373 marks with Grade C. Attendance stands at 94.23 percent. Participates in Music as an extracurricular activity.
Student S10710 named Alexandra Adams, age 14, gender Female, is in Class 10. Scored 38 in Math, 59 in Science, 30 in English, 81 in History, and 53 in Computer, totaling 261 marks with Grade D. Attendance stands at 89.96 percent. Participates in None as an extracurricular activity.
Student S10716 named Scott Walker, age 17, gender Female, is in Class 10. Scored 38 in Math, 48 in Science, 34 in English, 64 in History, and 75 in Computer, totaling 259 marks with Grade D. Attendance stands at 86.11 percent. Participates in Debate as an extracurricular activity.
Student S10725 named Ann Gonzalez, age 11, gender Male, is in Class 10. Scored 85 in Math, 91 in Science, 54 in English, 47 in History, and 88 in Computer, totaling 365 marks with Grade C. Attendance stands at 87.52 percent. Participates in Debate as an extracurricular activity.
Student S10726 named Holly Carson, age 13, gender Female, is in Class 10. Scored 86 in Math, 90 in Science, 94 in English, 31 in History, and 87 in Computer, totaling 388 marks with Grade C. Attendance stands at 98.18 percent. Participates in Football as an extracurricular activity.
Student S10756 named Barbara Benitez, age 15, gender Female, is in Class 10. Scored 88 in Math, 58 in Science, 66 in English, 60 in History, and 77 in Computer, totaling 349 marks with Grade C. Attendance stands at 95.75 percent. Participates in Music as an extracurricular activity.
Student S10763 named Sarah Turner, age 14, gender Female, is in Class 10. Scored 98 in Math, 76 in Science, 39 in English, 87 in History, and 69 in Computer, totaling 369 marks with Grade C. Attendance stands at 60.91 percent. Participates in Debate as an extracurricular activity.
Student S10776 named Louis Cole, age 13, gender Male, is in Class 10. Scored 83 in Math, 60 in Science, 60 in English, 35 in History, and 49 in Computer, totaling 287 marks with Grade D. Attendance stands at 85.76 percent. Participates in Football as an extracurricular activity.
Student S10784 named Melissa Estes, age 11, gender Male, is in Class 10. Scored 31 in Math, 96 in Science, 55 in English, 37 in History, and 88 in Computer, totaling 307 marks with Grade C. Attendance stands at 96.83 percent. Participates in Debate as an extracurricular activity.
Student S10793 named Michelle Bowers, age 16, gender Female, is in Class 10. Scored 32 in Math, 78 in Science, 47 in English, 82 in History, and 89 in Computer, totaling 328 marks with Grade C. Attendance stands at 73.51 percent. Participates in Debate as an extracurricular activity.
Student S10803 named Mr. Matthew Dunn, age 15, gender Female, is in Class 10. Scored 39 in Math, 55 in Science, 96 in English, 98 in History, and 52 in Computer, totaling 340 marks with Grade C. Attendance stands at 79.63 percent. Participates in Football as an extracurricular activity.
Student S10820 named Melissa Johnson, age 13, gender Male, is in Class 10. Scored 78 in Math, 86 in Science, 41 in English, 86 in History, and 56 in Computer, totaling 347 marks with Grade C. Attendance stands at 92.93 percent. Participates in Debate as an extracurricular activity.
Student S10827 named Kenneth Knight, age 17, gender Male, is in Class 10. Scored 38 in Math, 86 in Science, 62 in English, 40 in History, and 46 in Computer, totaling 272 marks with Grade D. Attendance stands at 95.09 percent. Participates in Football as an extracurricular activity.
Student S10829 named William Snyder, age 10, gender Male, is in Class 10. Scored 70 in Math, 59 in Science, 77 in English, 64 in History, and 98 in Computer, totaling 368 marks with Grade C. Attendance stands at 65.12 percent. Participates in Music as an extracurricular activity.
Student S10831 named Rebecca James, age 10, gender Male, is in Class 10. Scored 76 in Math, 84 in Science, 64 in English, 80 in History, and 92 in Computer, totaling 396 marks with Grade C. Attendance stands at 84.13 percent. Participates in None as an extracurricular activity.
