Student S10008 named Valerie Smith, age 16, gender Female, is in Class 5. Scored 31 in Math, 85 in Science, 42 in English, 73 in History, and 43 in Computer, totaling 274 marks with Grade D. Attendance stands at 81.02 percent. Participates in Debate as an extracurricular activity.
Student S10517 named Jeffrey Wong, age 17, gender Male, is in Class 5. Scored 73 in Math, 72 in Science, 90 in English, 64 in History, and 61 in Computer, totaling 360 marks with Grade C. Attendance stands at 80.49 percent. Participates in Drama as an extracurricular activity.
Student S10531 named Christine Wells, age 15, gender Male, is in Class 5. Scored 55 in Math, 91 in Science, 66 in English, 99 in History, and 65 in Computer, totaling 376 marks with Grade C. Attendance stands at 87.53 percent. Participates in Music as an extracurricular activity.
Student S10541 named Brandon Heath, age 13, gender Female, is in Class 5. Scored 92 in Math, 58 in Science, 63 in English, 83 in History, and 92 in Computer, totaling 388 marks with Grade C. Attendance stands at 80.08 percent. Participates in Debate as an extracurricular activity.
Student S10554 named Marissa Parks, age 16, gender Female, is in Class 5. Scored 81 in Math, 63 in Science, 86 in English, 77 in History, and 90 in Computer, totaling 397 marks with Grade C. Attendance stands at 83.63 percent. Participates in Music as an extracurricular activity.
Student S10560 named Carol Soto, age 14, gender Female, is in Class 5. Scored 78 in Math, 43 in Science, 36 in English, 74 in History, and 87 in Computer, totaling 318 marks with Grade C. Attendance stands at 93.19 percent. Participates in Drama as an extracurricular activity.
Student S10563 named Traci Watkins, age 15, gender Female, is in Class 5. Scored 86 in Math, 40 in Science, 61 in English, 93 in History, and 66 in Computer, totaling 346 marks with Grade C. Attendance stands at 69.77 percent. Participates in Debate as an extracurricular activity.
Student S10564 named Jason Mcdonald, age 13, gender Female, is in Class 5. Scored 61 in Math, 56 in Science, 69 in English, 34 in History, and 89 in Computer, totaling 309 marks with Grade C. Attendance stands at 71.78 percent. Participates in None as an extracurricular activity.
Student S10575 named Michael Daniels, age 14, gender Female, is in Class 5. Scored 82 in Math, 30 in Science, 48 in English, 54 in History, and 47 in Computer, totaling 261 marks with Grade D. Attendance stands at 66.85 percent. Participates in Dance as an extracurricular activity.
Student S10581 named Thomas Zuniga, age 11, gender Male, is in Class 5. Scored 77 in Math, 42 in Science, 83 in English, 61 in History, and 93 in Computer, totaling 356 marks with Grade C. Attendance stands at 95.28 percent. Participates in Dance as an extracurricular activity.
Student S10584 named Jessica Rhodes, age 13, gender Female, is in Class 5. Scored 34 in Math, 93 in Science, 99 in English, 68 in History, and 42 in Computer, totaling 336 marks with Grade C. Attendance stands at 71.16 percent. Participates in Debate as an extracurricular activity.
Student S10600 named Joseph Brown DVM, age 10, gender Female, is in Class 5. Scored 94 in Math, 60 in Science, 88 in English, 33 in History, and 70 in Computer, totaling 345 marks with Grade C. Attendance stands at 69.59 percent. Participates in None as an extracurricular activity.
Student S10605 named Mr. Robert Perry III, age 10, gender Male, is in Class 5. Scored 79 in Math, 60 in Science, 85 in English, 87 in History, and 49 in Computer, totaling 360 marks with Grade C. Attendance stands at 87.72 percent. Participates in Drama as an extracurricular activity.
Student S10612 named Tara Williams, age 12, gender Male, is in Class 5. Scored 96 in Math, 34 in Science, 38 in English, 39 in History, and 40 in Computer, totaling 247 marks with Grade D. Attendance stands at 98.62 percent. Participates in Drama as an extracurricular activity.
Student S10613 named Amanda Lewis, age 17, gender Female, is in Class 5. Scored 66 in Math, 53 in Science, 94 in English, 89 in History, and 52 in Computer, totaling 354 marks with Grade C. Attendance stands at 78.61 percent. Participates in Dance as an extracurricular activity.
Student S10631 named Michael Lucas, age 13, gender Male, is in Class 5. Scored 64 in Math, 31 in Science, 53 in English, 87 in History, and 98 in Computer, totaling 333 marks with Grade C. Attendance stands at 65.70 percent. Participates in Football as an extracurricular activity.
Student S10648 named Howard Valdez, age 14, gender Female, is in Class 5. Scored 95 in Math, 86 in Science, 38 in English, 87 in History, and 84 in Computer, totaling 390 marks with Grade C. Attendance stands at 75.68 percent. Participates in None as an extracurricular activity.
Student S10654 named Kelsey Hill, age 11, gender Female, is in Class 5. Scored 64 in Math, 42 in Science, 86 in English, 80 in History, and 81 in Computer, totaling 353 marks with Grade C. Attendance stands at 80.56 percent. Participates in Music as an extracurricular activity.
Student S10667 named Melissa Graves, age 15, gender Male, is in Class 5. Scored 95 in Math, 94 in Science, 48 in English, 47 in History, and 58 in Computer, totaling 342 marks with Grade C. Attendance stands at 71.61 percent. Participates in Football as an extracurricular activity.
Student S10694 named Denise Tyler, age 17, gender Female, is in Class 5. Scored 38 in Math, 91 in Science, 34 in English, 94 in History, and 74 in Computer, totaling 331 marks with Grade C. Attendance stands at 70.15 percent. Participates in Drama as an extracurricular activity.
Student S10699 named Heather Caldwell, age 11, gender Female, is in Class 5. Scored 41 in Math, 90 in Science, 41 in English, 58 in History, and 30 in Computer, totaling 260 marks with Grade D. Attendance stands at 99.99 percent. Participates in Debate as an extracurricular activity.
Student S10718 named Jessica Wade, age 15, gender Female, is in Class 5. Scored 82 in Math, 98 in Science, 57 in English, 74 in History, and 92 in Computer, totaling 403 marks with Grade B. Attendance stands at 84.66 percent. Participates in Music as an extracurricular activity.
Student S10720 named Judy Garner, age 13, gender Female, is in Class 5. Scored 79 in Math, 71 in Science, 58 in English, 81 in History, and 94 in Computer, totaling 383 marks with Grade C. Attendance stands at 91.81 percent. Participates in Dance as an extracurricular activity.
Student S10730 named Matthew Craig, age 16, gender Female, is in Class 5. Scored 41 in Math, 89 in Science, 53 in English, 66 in History, and 67 in Computer, totaling 316 marks with Grade C. Attendance stands at 88.86 percent. Participates in Drama as an extracurricular activity.
Student S10740 named Ann Bryant, age 14, gender Male, is in Class 5. Scored 98 in Math, 93 in Science, 92 in English, 68 in History, and 42 in Computer, totaling 393 marks with Grade C. Attendance stands at 93.34 percent. Participates in Debate as an extracurricular activity.
Student S10747 named Emily Miller, age 11, gender Male, is in Class 5. Scored 32 in Math, 40 in Science, 62 in English, 51 in History, and 94 in Computer, totaling 279 marks with Grade D. Attendance stands at 73.21 percent. Participates in None as an extracurricular activity.
Student S10753 named Cheryl Bryant, age 12, gender Male, is in Class 5. Scored 56 in Math, 44 in Science, 97 in English, 95 in History, and 90 in Computer, totaling 382 marks with Grade C. Attendance stands at 92.85 percent. Participates in Football as an extracurricular activity.
Student S10758 named Michelle Russell, age 15, gender Male, is in Class 5. Scored 43 in Math, 55 in Science, 41 in English, 57 in History, and 99 in Computer, totaling 295 marks with Grade D. Attendance stands at 74.06 percent. Participates in Drama as an extracurricular activity.
Student S10759 named Cynthia Gonzalez, age 17, gender Male, is in Class 5. Scored 70 in Math, 73 in Science, 56 in English, 84 in History, and 38 in Computer, totaling 321 marks with Grade C. Attendance stands at 71.90 percent. Participates in Debate as an extracurricular activity.
Student S10761 named Edwin Johnson, age 13, gender Male, is in Class 5. Scored 72 in Math, 39 in Science, 79 in English, 41 in History, and 60 in Computer, totaling 291 marks with Grade D. Attendance stands at 69.52 percent. Participates in Football as an extracurricular activity.
Student S10764 named Rhonda Richardson, age 17, gender Male, is in Class 5. Scored 44 in Math, 66 in Science, 72 in English, 37 in History, and 78 in Computer, totaling 297 marks with Grade D. Attendance stands at 76.84 percent. Participates in Dance as an extracurricular activity.
Student S10768 named Peter Booker, age 13, gender Male, is in Class 5. Scored 30 in Math, 42 in Science, 36 in English, 50 in History, and 70 in Computer, totaling 228 marks with Grade D. Attendance stands at 77.27 percent. Participates in None as an extracurricular activity.
Student S10769 named Mark Fitzpatrick, age 11, gender Male, is in Class 5. Scored 40 in Math, 60 in Science, 36 in English, 39 in History, and 44 in Computer, totaling 219 marks with Grade D. Attendance stands at 79.30 percent. Participates in Dance as an extracurricular activity.
Student S10771 named Jared Carr, age 13, gender Male, is in Class 5. Scored 89 in Math, 47 in Science, 49 in English, 93 in History, and 47 in Computer, totaling 325 marks with Grade C. Attendance stands at 81.87 percent. Participates in None as an extracurricular activity.
Student S10779 named Becky Williams, age 13, gender Female, is in Class 5. Scored 98 in Math, 44 in Science, 40 in English, 54 in History, and 36 in Computer, totaling 272 marks with Grade D. Attendance stands at 90.98 percent. Participates in Music as an extracurricular activity.
Student S10782 named Jesse Parker, age 16, gender Female, is in Class 5. Scored 77 in Math, 79 in Science, 84 in English, 54 in History, and 62 in Computer, totaling 356 marks with Grade C. Attendance stands at 71.43 percent. Participates in Dance as an extracurricular activity.
Student S10797 named Brandon Holloway, age 16, gender Male, is in Class 5. Scored 59 in Math, 33 in Science, 82 in English, 90 in History, and 71 in Computer, totaling 335 marks with Grade C. Attendance stands at 60.66 percent. Participates in Music as an extracurricular activity.
Student S10818 named Carolyn Gomez, age 11, gender Male, is in Class 5. Scored 43 in Math, 54 in Science, 38 in English, 31 in History, and 33 in Computer, totaling 199 marks with Grade F. Attendance stands at 63.50 percent. Participates in Dance as an extracurricular activity.
Student S10821 named Matthew Johnston, age 13, gender Male, is in Class 5. Scored 71 in Math, 64 in Science, 85 in English, 99 in History, and 35 in Computer, totaling 354 marks with Grade C. Attendance stands at 80.52 percent. Participates in Dance as an extracurricular activity.
Student S10826 named Ronald Zuniga, age 16, gender Female, is in Class 5. Scored 32 in Math, 80 in Science, 37 in English, 80 in History, and 53 in Computer, totaling 282 marks with Grade D. Attendance stands at 85.52 percent. Participates in Music as an extracurricular activity.
Student S10849 named Danny Mcgee, age 10, gender Male, is in Class 5. Scored 32 in Math, 81 in Science, 53 in English, 81 in History, and 69 in Computer, totaling 316 marks with Grade C. Attendance stands at 87.00 percent. Participates in Football as an extracurricular activity.
Student S10856 named Brian Morris, age 17, gender Female, is in Class 5. Scored 98 in Math, 30 in Science, 65 in English, 71 in History, and 72 in Computer, totaling 336 marks with Grade C. Attendance stands at 83.15 percent. Participates in None as an extracurricular activity.
Student S10861 named Tanya Marquez, age 16, gender Male, is in Class 5. Scored 35 in Math, 91 in Science, 90 in English, 42 in History, and 87 in Computer, totaling 345 marks with Grade C. Attendance stands at 70.17 percent. Participates in None as an extracurricular activity.
Student S10876 named Cory Shepherd, age 11, gender Male, is in Class 5. Scored 78 in Math, 94 in Science, 87 in English, 42 in History, and 57 in Computer, totaling 358 marks with Grade C. Attendance stands at 81.64 percent. Participates in Drama as an extracurricular activity.
Student S10880 named Tyler Chavez, age 12, gender Male, is in Class 5. Scored 33 in Math, 73 in Science, 66 in English, 67 in History, and 51 in Computer, totaling 290 marks with Grade D. Attendance stands at 99.32 percent. Participates in Dance as an extracurricular activity.
Student S10882 named Ariel Cervantes, age 16, gender Female, is in Class 5. Scored 75 in Math, 39 in Science, 98 in English, 37 in History, and 41 in Computer, totaling 290 marks with Grade D. Attendance stands at 89.48 percent. Participates in Drama as an extracurricular activity.
Student S10898 named Frederick Gillespie, age 12, gender Female, is in Class 5. Scored 64 in Math, 49 in Science, 72 in English, 61 in History, and 30 in Computer, totaling 276 marks with Grade D. Attendance stands at 85.19 percent. Participates in Debate as an extracurricular activity.
Student S10900 named Dr. Nicole Ferguson, age 15, gender Male, is in Class 5. Scored 31 in Math, 66 in Science, 60 in English, 59 in History, and 88 in Computer, totaling 304 marks with Grade C. Attendance stands at 73.94 percent. Participates in Football as an extracurricular activity.
Student S10915 named Victoria Foster, age 14, gender Male, is in Class 5. Scored 50 in Math, 63 in Science, 62 in English, 78 in History, and 91 in Computer, totaling 344 marks with Grade C. Attendance stands at 90.78 percent. Participates in Drama as an extracurricular activity.
Student S10926 named Kimberly Martinez, age 13, gender Female, is in Class 5. Scored 35 in Math, 47 in Science, 53 in English, 59 in History, and 55 in Computer, totaling 249 marks with Grade D. Attendance stands at 60.91 percent. Participates in Dance as an extracurricular activity.
Student S10930 named Cody Benitez, age 14, gender Female, is in Class 5. Scored 82 in Math, 52 in Science, 94 in English, 77 in History, and 88 in Computer, totaling 393 marks with Grade C. Attendance stands at 79.02 percent. Participates in Drama as an extracurricular activity.
Student S10931 named Christopher Cross, age 10, gender Female, is in Class 5. Scored 93 in Math, 48 in Science, 76 in English, 93 in History, and 97 in Computer, totaling 407 marks with Grade B. Attendance stands at 95.45 percent. Participates in None as an extracurricular activity.
Student S10942 named David Garcia, age 14, gender Male, is in Class 5. Scored 70 in Math, 90 in Science, 45 in English, 39 in History, and 60 in Computer, totaling 304 marks with Grade C. Attendance stands at 68.05 percent. Participates in Dance as an extracurricular activity.
Student S10947 named Anthony Jones, age 14, gender Female, is in Class 5. Scored 32 in Math, 94 in Science, 78 in English, 60 in History, and 39 in Computer, totaling 303 marks with Grade C. Attendance stands at 79.20 percent. Participates in Debate as an extracurricular activity.
Student S10950 named Matthew Fox, age 15, gender Female, is in Class 5. Scored 41 in Math, 68 in Science, 94 in English, 92 in History, and 36 in Computer, totaling 331 marks with Grade C. Attendance stands at 64.67 percent. Participates in Music as an extracurricular activity.
Student S10970 named Natalie Jackson, age 15, gender Male, is in Class 5. Scored 99 in Math, 57 in Science, 91 in English, 53 in History, and 36 in Computer, totaling 336 marks with Grade C. Attendance stands at 95.72 percent. Participates in Football as an extracurricular activity.
Student S10973 named Travis Garza, age 17, gender Male, is in Class 5. Scored 88 in Math, 59 in Science, 92 in English, 91 in History, and 53 in Computer, totaling 383 marks with Grade C. Attendance stands at 80.26 percent. Participates in None as an extracurricular activity.
Student S10977 named John Shelton, age 11, gender Female, is in Class 5. Scored 31 in Math, 54 in Science, 69 in English, 42 in History, and 64 in Computer, totaling 260 marks with Grade D. Attendance stands at 66.78 percent. Participates in Drama as an extracurricular activity.
Student S10981 named Jennifer Hebert, age 16, gender Male, is in Class 5. Scored 44 in Math, 62 in Science, 77 in English, 64 in History, and 85 in Computer, totaling 332 marks with Grade C. Attendance stands at 60.02 percent. Participates in Music as an extracurricular activity.
Student S10983 named Matthew Copeland, age 15, gender Female, is in Class 5. Scored 59 in Math, 91 in Science, 61 in English, 62 in History, and 49 in Computer, totaling 322 marks with Grade C. Attendance stands at 87.16 percent. Participates in Debate as an extracurricular activity.
Student S11028 named Dr. Jennifer Armstrong, age 16, gender Female, is in Class 5. Scored 46 in Math, 64 in Science, 44 in English, 37 in History, and 36 in Computer, totaling 227 marks with Grade D. Attendance stands at 83.29 percent. Participates in Music as an extracurricular activity.
Student S11032 named Christian Mann, age 16, gender Female, is in Class 5. Scored 88 in Math, 37 in Science, 44 in English, 41 in History, and 94 in Computer, totaling 304 marks with Grade C. Attendance stands at 97.81 percent. Participates in Dance as an extracurricular activity.
Student S11042 named Frank Vaughn, age 13, gender Female, is in Class 5. Scored 63 in Math, 60 in Science, 31 in English, 34 in History, and 41 in Computer, totaling 229 marks with Grade D. Attendance stands at 66.57 percent. Participates in Music as an extracurricular activity.
Student S11050 named Wesley Jones MD, age 16, gender Female, is in Class 5. Scored 72 in Math, 34 in Science, 33 in English, 66 in History, and 76 in Computer, totaling 281 marks with Grade D. Attendance stands at 95.47 percent. Participates in Debate as an extracurricular activity.
Student S11061 named Nicole Zhang, age 11, gender Male, is in Class 5. Scored 63 in Math, 76 in Science, 99 in English, 56 in History, and 52 in Computer, totaling 346 marks with Grade C. Attendance stands at 69.50 percent. Participates in None as an extracurricular activity.
Student S11072 named Eric Torres, age 16, gender Male, is in Class 5. Scored 89 in Math, 64 in Science, 95 in English, 33 in History, and 47 in Computer, totaling 328 marks with Grade C. Attendance stands at 99.01 percent. Participates in None as an extracurricular activity.
Student S11073 named John Ward, age 16, gender Male, is in Class 5. Scored 88 in Math, 71 in Science, 81 in English, 80 in History, and 32 in Computer, totaling 352 marks with Grade C. Attendance stands at 78.77 percent. Participates in Drama as an extracurricular activity.
Student S11075 named Jeffery Ramsey, age 12, gender Male, is in Class 5. Scored 81 in Math, 91 in Science, 75 in English, 95 in History, and 50 in Computer, totaling 392 marks with Grade C. Attendance stands at 61.10 percent. Participates in Dance as an extracurricular activity.
Student S11077 named Dennis Rogers, age 15, gender Male, is in Class 5. Scored 96 in Math, 97 in Science, 54 in English, 67 in History, and 57 in Computer, totaling 371 marks with Grade C. Attendance stands at 83.04 percent. Participates in Music as an extracurricular activity.
Student S11084 named Jason Stewart, age 13, gender Female, is in Class 5. Scored 64 in Math, 78 in Science, 75 in English, 73 in History, and 62 in Computer, totaling 352 marks with Grade C. Attendance stands at 61.74 percent. Participates in Dance as an extracurricular activity.
Student S11099 named Sheila Stephens, age 16, gender Female, is in Class 5. Scored 88 in Math, 86 in Science, 39 in English, 94 in History, and 94 in Computer, totaling 401 marks with Grade B. Attendance stands at 75.05 percent. Participates in Debate as an extracurricular activity.
