Student S10001 named Rebecca Vargas, age 15, gender Male, is in Class 8. Scored 40 in Math, 94 in Science, 42 in English, 66 in History, and 70 in Computer, totaling 312 marks with Grade C. Attendance stands at 69.78 percent. Participates in Drama as an extracurricular activity.
Student S10156 named David Salinas, age 14, gender Male, is in Class 8. Scored 56 in Math, 77 in Science, 46 in English, 90 in History, and 61 in Computer, totaling 330 marks with Grade C. Attendance stands at 69.86 percent. Participates in Drama as an extracurricular activity.
Student S10162 named Laura Woodward, age 13, gender Male, is in Class 8. Scored 71 in Math, 81 in Science, 44 in English, 84 in History, and 35 in Computer, totaling 315 marks with Grade C. Attendance stands at 60.20 percent. Participates in Debate as an extracurricular activity.
Student S10170 named Trevor Miller, age 17, gender Male, is in Class 8. Scored 77 in Math, 47 in Science, 30 in English, 67 in History, and 65 in Computer, totaling 286 marks with Grade D. Attendance stands at 74.21 percent. Participates in Drama as an extracurricular activity.
Student S10202 named Kristen Dean, age 12, gender Female, is in Class 8. Scored 47 in Math, 30 in Science, 42 in English, 78 in History, and 67 in Computer, totaling 264 marks with Grade D. Attendance stands at 64.53 percent. Participates in Football as an extracurricular activity.
Student S10211 named Katherine Herrera, age 12, gender Female, is in Class 8. Scored 31 in Math, 91 in Science, 92 in English, 84 in History, and 89 in Computer, totaling 387 marks with Grade C. Attendance stands at 72.71 percent. Participates in None as an extracurricular activity.
Student S10217 named Stephen Cox, age 14, gender Female, is in Class 8. Scored 59 in Math, 76 in Science, 40 in English, 93 in History, and 37 in Computer, totaling 305 marks with Grade C. Attendance stands at 61.98 percent. Participates in Dance as an extracurricular activity.
Student S10225 named Monica Cook, age 16, gender Female, is in Class 8. Scored 95 in Math, 82 in Science, 47 in English, 93 in History, and 84 in Computer, totaling 401 marks with Grade B. Attendance stands at 72.22 percent. Participates in Football as an extracurricular activity.
Student S10232 named Alison Nielsen, age 15, gender Female, is in Class 8. Scored 36 in Math, 43 in Science, 65 in English, 85 in History, and 59 in Computer, totaling 288 marks with Grade D. Attendance stands at 84.34 percent. Participates in Music as an extracurricular activity.
Student S10247 named Andrew Phelps, age 10, gender Male, is in Class 8. Scored 82 in Math, 58 in Science, 64 in English, 47 in History, and 98 in Computer, totaling 349 marks with Grade C. Attendance stands at 76.08 percent. Participates in Drama as an extracurricular activity.
Student S10260 named Timothy Stewart, age 16, gender Female, is in Class 8. Scored 45 in Math, 75 in Science, 58 in English, 89 in History, and 62 in Computer, totaling 329 marks with Grade C. Attendance stands at 87.01 percent. Participates in Debate as an extracurricular activity.
Student S10263 named Kayla Jackson, age 13, gender Male, is in Class 8. Scored 99 in Math, 49 in Science, 70 in English, 80 in History, and 44 in Computer, totaling 342 marks with Grade C. Attendance stands at 68.68 percent. Participates in Music as an extracurricular activity.
Student S10266 named Chelsea Stevens, age 14, gender Female, is in Class 8. Scored 60 in Math, 80 in Science, 95 in English, 48 in History, and 54 in Computer, totaling 337 marks with Grade C. Attendance stands at 92.44 percent. Participates in Debate as an extracurricular activity.
Student S10271 named Brenda Smith, age 16, gender Male, is in Class 8. Scored 97 in Math, 92 in Science, 85 in English, 96 in History, and 73 in Computer, totaling 443 marks with Grade B. Attendance stands at 90.79 percent. Participates in Dance as an extracurricular activity.
Student S10273 named Steven Gonzales, age 12, gender Male, is in Class 8. Scored 85 in Math, 61 in Science, 67 in English, 38 in History, and 52 in Computer, totaling 303 marks with Grade C. Attendance stands at 60.74 percent. Participates in Drama as an extracurricular activity.
Student S10285 named Louis Martin, age 14, gender Female, is in Class 8. Scored 67 in Math, 91 in Science, 90 in English, 90 in History, and 95 in Computer, totaling 433 marks with Grade B. Attendance stands at 66.12 percent. Participates in Debate as an extracurricular activity.
Student S10298 named Erica Wagner, age 17, gender Male, is in Class 8. Scored 74 in Math, 70 in Science, 87 in English, 92 in History, and 52 in Computer, totaling 375 marks with Grade C. Attendance stands at 69.93 percent. Participates in Dance as an extracurricular activity.
Student S10312 named Timothy Kaiser, age 16, gender Male, is in Class 8. Scored 77 in Math, 42 in Science, 70 in English, 64 in History, and 44 in Computer, totaling 297 marks with Grade D. Attendance stands at 77.52 percent. Participates in None as an extracurricular activity.
Student S10334 named Jessica Gonzales, age 14, gender Male, is in Class 8. Scored 35 in Math, 57 in Science, 44 in English, 88 in History, and 69 in Computer, totaling 293 marks with Grade D. Attendance stands at 62.03 percent. Participates in Drama as an extracurricular activity.
Student S10339 named Lauren Mitchell, age 11, gender Female, is in Class 8. Scored 45 in Math, 78 in Science, 65 in English, 34 in History, and 82 in Computer, totaling 304 marks with Grade C. Attendance stands at 66.48 percent. Participates in Football as an extracurricular activity.
Student S10352 named Christina Johnson, age 14, gender Female, is in Class 8. Scored 89 in Math, 98 in Science, 67 in English, 37 in History, and 40 in Computer, totaling 331 marks with Grade C. Attendance stands at 61.93 percent. Participates in Drama as an extracurricular activity.
Student S10353 named Pedro Dean, age 13, gender Female, is in Class 8. Scored 92 in Math, 76 in Science, 38 in English, 35 in History, and 37 in Computer, totaling 278 marks with Grade D. Attendance stands at 82.74 percent. Participates in Music as an extracurricular activity.
Student S10357 named Craig Johnson, age 14, gender Female, is in Class 8. Scored 59 in Math, 33 in Science, 30 in English, 72 in History, and 87 in Computer, totaling 281 marks with Grade D. Attendance stands at 95.90 percent. Participates in None as an extracurricular activity.
Student S10359 named Joshua Graham, age 12, gender Female, is in Class 8. Scored 43 in Math, 66 in Science, 55 in English, 46 in History, and 68 in Computer, totaling 278 marks with Grade D. Attendance stands at 62.69 percent. Participates in Football as an extracurricular activity.
Student S10365 named Linda Dalton, age 15, gender Female, is in Class 8. Scored 39 in Math, 87 in Science, 91 in English, 47 in History, and 93 in Computer, totaling 357 marks with Grade C. Attendance stands at 91.40 percent. Participates in Music as an extracurricular activity.
Student S10367 named Tyrone Williams, age 10, gender Male, is in Class 8. Scored 61 in Math, 74 in Science, 39 in English, 67 in History, and 82 in Computer, totaling 323 marks with Grade C. Attendance stands at 80.23 percent. Participates in Dance as an extracurricular activity.
Student S10385 named Jennifer Hernandez, age 12, gender Male, is in Class 8. Scored 69 in Math, 49 in Science, 83 in English, 66 in History, and 30 in Computer, totaling 297 marks with Grade D. Attendance stands at 78.88 percent. Participates in Music as an extracurricular activity.
Student S10389 named Emily Contreras, age 11, gender Male, is in Class 8. Scored 91 in Math, 85 in Science, 87 in English, 39 in History, and 33 in Computer, totaling 335 marks with Grade C. Attendance stands at 96.50 percent. Participates in Drama as an extracurricular activity.
Student S10404 named Melanie Duke, age 11, gender Female, is in Class 8. Scored 32 in Math, 80 in Science, 58 in English, 98 in History, and 85 in Computer, totaling 353 marks with Grade C. Attendance stands at 71.24 percent. Participates in Football as an extracurricular activity.
Student S10413 named Jeremy Wilson, age 15, gender Male, is in Class 8. Scored 90 in Math, 33 in Science, 46 in English, 58 in History, and 70 in Computer, totaling 297 marks with Grade D. Attendance stands at 98.38 percent. Participates in Dance as an extracurricular activity.
Student S10416 named Paul Ross, age 17, gender Male, is in Class 8. Scored 58 in Math, 99 in Science, 79 in English, 88 in History, and 49 in Computer, totaling 373 marks with Grade C. Attendance stands at 90.71 percent. Participates in Dance as an extracurricular activity.
Student S10431 named Dennis Cook, age 16, gender Male, is in Class 8. Scored 39 in Math, 62 in Science, 64 in English, 96 in History, and 70 in Computer, totaling 331 marks with Grade C. Attendance stands at 68.64 percent. Participates in Dance as an extracurricular activity.
Student S10443 named Kelly Smith, age 15, gender Male, is in Class 8. Scored 63 in Math, 53 in Science, 65 in English, 51 in History, and 66 in Computer, totaling 298 marks with Grade D. Attendance stands at 71.63 percent. Participates in Dance as an extracurricular activity.
Student S10449 named Timothy Bishop, age 11, gender Male, is in Class 8. Scored 37 in Math, 36 in Science, 44 in English, 31 in History, and 50 in Computer, totaling 198 marks with Grade F. Attendance stands at 81.00 percent. Participates in Dance as an extracurricular activity.
Student S10451 named Mr. Anthony Marshall, age 12, gender Male, is in Class 8. Scored 96 in Math, 40 in Science, 48 in English, 70 in History, and 36 in Computer, totaling 290 marks with Grade D. Attendance stands at 86.13 percent. Participates in Dance as an extracurricular activity.
Student S10464 named Katherine Campbell, age 13, gender Female, is in Class 8. Scored 38 in Math, 70 in Science, 83 in English, 73 in History, and 82 in Computer, totaling 346 marks with Grade C. Attendance stands at 98.98 percent. Participates in Debate as an extracurricular activity.
Student S10465 named Dawn Wallace, age 12, gender Male, is in Class 8. Scored 53 in Math, 52 in Science, 68 in English, 80 in History, and 34 in Computer, totaling 287 marks with Grade D. Attendance stands at 86.72 percent. Participates in None as an extracurricular activity.
Student S10468 named James Tate, age 11, gender Male, is in Class 8. Scored 88 in Math, 49 in Science, 82 in English, 85 in History, and 67 in Computer, totaling 371 marks with Grade C. Attendance stands at 71.89 percent. Participates in Dance as an extracurricular activity.
Student S10478 named Jesse Holder, age 17, gender Female, is in Class 8. Scored 50 in Math, 38 in Science, 41 in English, 65 in History, and 88 in Computer, totaling 282 marks with Grade D. Attendance stands at 86.84 percent. Participates in None as an extracurricular activity.
Student S10479 named Jane Davis, age 13, gender Male, is in Class 8. Scored 86 in Math, 92 in Science, 48 in English, 74 in History, and 83 in Computer, totaling 383 marks with Grade C. Attendance stands at 86.65 percent. Participates in Music as an extracurricular activity.
Student S10480 named Terri Fleming, age 14, gender Male, is in Class 8. Scored 50 in Math, 87 in Science, 82 in English, 87 in History, and 69 in Computer, totaling 375 marks with Grade C. Attendance stands at 94.36 percent. Participates in Music as an extracurricular activity.
Student S10482 named Jill Smith, age 10, gender Female, is in Class 8. Scored 93 in Math, 68 in Science, 92 in English, 37 in History, and 45 in Computer, totaling 335 marks with Grade C. Attendance stands at 69.03 percent. Participates in Drama as an extracurricular activity.
Student S10499 named Dorothy Rose, age 16, gender Female, is in Class 8. Scored 36 in Math, 65 in Science, 39 in English, 72 in History, and 71 in Computer, totaling 283 marks with Grade D. Attendance stands at 95.04 percent. Participates in None as an extracurricular activity.
Student S10505 named Sean Cochran, age 10, gender Male, is in Class 8. Scored 34 in Math, 98 in Science, 86 in English, 92 in History, and 47 in Computer, totaling 357 marks with Grade C. Attendance stands at 71.79 percent. Participates in Football as an extracurricular activity.
Student S10544 named Cindy Knight, age 14, gender Male, is in Class 8. Scored 86 in Math, 49 in Science, 45 in English, 74 in History, and 49 in Computer, totaling 303 marks with Grade C. Attendance stands at 89.74 percent. Participates in None as an extracurricular activity.
Student S10546 named Emma Middleton, age 17, gender Male, is in Class 8. Scored 41 in Math, 51 in Science, 89 in English, 42 in History, and 34 in Computer, totaling 257 marks with Grade D. Attendance stands at 62.11 percent. Participates in Drama as an extracurricular activity.
Student S10558 named Meagan Chapman, age 13, gender Female, is in Class 8. Scored 43 in Math, 38 in Science, 53 in English, 96 in History, and 35 in Computer, totaling 265 marks with Grade D. Attendance stands at 86.29 percent. Participates in Music as an extracurricular activity.
Student S10562 named Nicholas Chapman, age 13, gender Female, is in Class 8. Scored 72 in Math, 58 in Science, 80 in English, 78 in History, and 64 in Computer, totaling 352 marks with Grade C. Attendance stands at 92.34 percent. Participates in Football as an extracurricular activity.
Student S10577 named Matthew Henderson, age 17, gender Female, is in Class 8. Scored 72 in Math, 77 in Science, 47 in English, 49 in History, and 72 in Computer, totaling 317 marks with Grade C. Attendance stands at 77.93 percent. Participates in Dance as an extracurricular activity.
Student S10580 named Caroline Armstrong, age 15, gender Male, is in Class 8. Scored 40 in Math, 53 in Science, 65 in English, 60 in History, and 94 in Computer, totaling 312 marks with Grade C. Attendance stands at 89.78 percent. Participates in Dance as an extracurricular activity.
Student S10582 named James Shannon, age 10, gender Male, is in Class 8. Scored 36 in Math, 95 in Science, 54 in English, 44 in History, and 68 in Computer, totaling 297 marks with Grade D. Attendance stands at 98.08 percent. Participates in Drama as an extracurricular activity.
Student S10585 named Daniel Rodriguez, age 10, gender Male, is in Class 8. Scored 83 in Math, 76 in Science, 36 in English, 50 in History, and 78 in Computer, totaling 323 marks with Grade C. Attendance stands at 86.00 percent. Participates in Music as an extracurricular activity.
Student S10591 named Steven Griffith, age 14, gender Female, is in Class 8. Scored 39 in Math, 64 in Science, 91 in English, 77 in History, and 36 in Computer, totaling 307 marks with Grade C. Attendance stands at 71.74 percent. Participates in Drama as an extracurricular activity.
Student S10594 named Shannon Martin, age 15, gender Male, is in Class 8. Scored 59 in Math, 77 in Science, 66 in English, 36 in History, and 73 in Computer, totaling 311 marks with Grade C. Attendance stands at 93.64 percent. Participates in Dance as an extracurricular activity.
Student S10596 named Tyler Mcdonald, age 17, gender Female, is in Class 8. Scored 94 in Math, 32 in Science, 56 in English, 50 in History, and 64 in Computer, totaling 296 marks with Grade D. Attendance stands at 92.30 percent. Participates in Dance as an extracurricular activity.
Student S10617 named Kari Fernandez, age 12, gender Male, is in Class 8. Scored 44 in Math, 88 in Science, 67 in English, 86 in History, and 54 in Computer, totaling 339 marks with Grade C. Attendance stands at 68.96 percent. Participates in Drama as an extracurricular activity.
Student S10621 named Kelly Thomas, age 15, gender Female, is in Class 8. Scored 80 in Math, 51 in Science, 51 in English, 72 in History, and 98 in Computer, totaling 352 marks with Grade C. Attendance stands at 87.10 percent. Participates in Dance as an extracurricular activity.
Student S10622 named Daniel Gomez, age 15, gender Female, is in Class 8. Scored 70 in Math, 51 in Science, 67 in English, 36 in History, and 45 in Computer, totaling 269 marks with Grade D. Attendance stands at 87.91 percent. Participates in Football as an extracurricular activity.
Student S10628 named Michael Macias, age 16, gender Male, is in Class 8. Scored 34 in Math, 86 in Science, 55 in English, 92 in History, and 33 in Computer, totaling 300 marks with Grade D. Attendance stands at 69.90 percent. Participates in Music as an extracurricular activity.
Student S10630 named Anthony Reese, age 10, gender Female, is in Class 8. Scored 39 in Math, 32 in Science, 89 in English, 41 in History, and 44 in Computer, totaling 245 marks with Grade D. Attendance stands at 66.65 percent. Participates in Dance as an extracurricular activity.
Student S10634 named Robert Sullivan, age 17, gender Male, is in Class 8. Scored 92 in Math, 49 in Science, 34 in English, 61 in History, and 72 in Computer, totaling 308 marks with Grade C. Attendance stands at 63.43 percent. Participates in Debate as an extracurricular activity.
Student S10658 named Kristy Brown, age 10, gender Female, is in Class 8. Scored 68 in Math, 72 in Science, 51 in English, 75 in History, and 57 in Computer, totaling 323 marks with Grade C. Attendance stands at 99.62 percent. Participates in Dance as an extracurricular activity.
Student S10686 named Alexis Kramer, age 11, gender Male, is in Class 8. Scored 60 in Math, 56 in Science, 36 in English, 40 in History, and 67 in Computer, totaling 259 marks with Grade D. Attendance stands at 79.71 percent. Participates in None as an extracurricular activity.
Student S10689 named Christopher Luna, age 13, gender Female, is in Class 8. Scored 82 in Math, 74 in Science, 33 in English, 96 in History, and 53 in Computer, totaling 338 marks with Grade C. Attendance stands at 94.71 percent. Participates in None as an extracurricular activity.
Student S10692 named Duane Kane, age 13, gender Female, is in Class 8. Scored 80 in Math, 32 in Science, 99 in English, 43 in History, and 66 in Computer, totaling 320 marks with Grade C. Attendance stands at 82.30 percent. Participates in Drama as an extracurricular activity.
Student S10702 named Charles Aguilar, age 10, gender Female, is in Class 8. Scored 49 in Math, 41 in Science, 76 in English, 93 in History, and 42 in Computer, totaling 301 marks with Grade C. Attendance stands at 72.62 percent. Participates in Debate as an extracurricular activity.
Student S10703 named Alyssa Gould, age 10, gender Male, is in Class 8. Scored 58 in Math, 32 in Science, 71 in English, 96 in History, and 68 in Computer, totaling 325 marks with Grade C. Attendance stands at 87.85 percent. Participates in Dance as an extracurricular activity.
Student S10715 named Christopher Crawford, age 14, gender Female, is in Class 8. Scored 53 in Math, 80 in Science, 96 in English, 94 in History, and 87 in Computer, totaling 410 marks with Grade B. Attendance stands at 71.27 percent. Participates in Debate as an extracurricular activity.
Student S10717 named Justin Clark, age 14, gender Male, is in Class 8. Scored 98 in Math, 70 in Science, 66 in English, 78 in History, and 49 in Computer, totaling 361 marks with Grade C. Attendance stands at 96.67 percent. Participates in Debate as an extracurricular activity.
Student S10719 named Brooke Alvarez, age 16, gender Male, is in Class 8. Scored 67 in Math, 84 in Science, 57 in English, 64 in History, and 66 in Computer, totaling 338 marks with Grade C. Attendance stands at 64.27 percent. Participates in Drama as an extracurricular activity.
Student S10765 named Derek Anderson, age 16, gender Female, is in Class 8. Scored 61 in Math, 82 in Science, 93 in English, 32 in History, and 53 in Computer, totaling 321 marks with Grade C. Attendance stands at 93.86 percent. Participates in Drama as an extracurricular activity.
Student S10770 named Robert Black, age 11, gender Female, is in Class 8. Scored 84 in Math, 64 in Science, 69 in English, 95 in History, and 79 in Computer, totaling 391 marks with Grade C. Attendance stands at 85.48 percent. Participates in None as an extracurricular activity.
Student S10781 named Kenneth White, age 11, gender Female, is in Class 8. Scored 91 in Math, 75 in Science, 72 in English, 93 in History, and 95 in Computer, totaling 426 marks with Grade B. Attendance stands at 75.69 percent. Participates in Dance as an extracurricular activity.
Student S10799 named Dr. Tamara Young, age 14, gender Female, is in Class 8. Scored 30 in Math, 96 in Science, 37 in English, 42 in History, and 49 in Computer, totaling 254 marks with Grade D. Attendance stands at 60.58 percent. Participates in Dance as an extracurricular activity.
Student S10800 named Alicia Gibson, age 10, gender Female, is in Class 8. Scored 35 in Math, 77 in Science, 81 in English, 80 in History, and 59 in Computer, totaling 332 marks with Grade C. Attendance stands at 86.63 percent. Participates in Debate as an extracurricular activity.
Student S10806 named Devin Jones, age 14, gender Male, is in Class 8. Scored 71 in Math, 71 in Science, 49 in English, 52 in History, and 88 in Computer, totaling 331 marks with Grade C. Attendance stands at 69.85 percent. Participates in None as an extracurricular activity.
Student S10811 named Kevin Evans, age 14, gender Female, is in Class 8. Scored 34 in Math, 88 in Science, 35 in English, 31 in History, and 98 in Computer, totaling 286 marks with Grade D. Attendance stands at 71.22 percent. Participates in None as an extracurricular activity.
Student S10817 named Jamie Nichols, age 12, gender Female, is in Class 8. Scored 92 in Math, 60 in Science, 75 in English, 64 in History, and 73 in Computer, totaling 364 marks with Grade C. Attendance stands at 92.65 percent. Participates in Debate as an extracurricular activity.
Student S10834 named Amanda Martin, age 15, gender Female, is in Class 8. Scored 69 in Math, 44 in Science, 44 in English, 66 in History, and 78 in Computer, totaling 301 marks with Grade C. Attendance stands at 68.64 percent. Participates in Music as an extracurricular activity.
Student S10862 named Marc Evans, age 15, gender Female, is in Class 8. Scored 48 in Math, 86 in Science, 97 in English, 57 in History, and 38 in Computer, totaling 326 marks with Grade C. Attendance stands at 95.48 percent. Participates in None as an extracurricular activity.
Student S10868 named Kathryn Mckee, age 14, gender Male, is in Class 8. Scored 53 in Math, 74 in Science, 78 in English, 41 in History, and 54 in Computer, totaling 300 marks with Grade D. Attendance stands at 94.97 percent. Participates in Debate as an extracurricular activity.
Student S10878 named Sean Dunn, age 10, gender Female, is in Class 8. Scored 80 in Math, 65 in Science, 52 in English, 43 in History, and 81 in Computer, totaling 321 marks with Grade C. Attendance stands at 62.16 percent. Participates in Drama as an extracurricular activity.
Student S10885 named John Tucker, age 12, gender Female, is in Class 8. Scored 40 in Math, 33 in Science, 37 in English, 34 in History, and 40 in Computer, totaling 184 marks with Grade F. Attendance stands at 67.22 percent. Participates in Dance as an extracurricular activity.
Student S10890 named Luis Irwin, age 11, gender Female, is in Class 8. Scored 47 in Math, 99 in Science, 54 in English, 91 in History, and 42 in Computer, totaling 333 marks with Grade C. Attendance stands at 74.28 percent. Participates in Dance as an extracurricular activity.
Student S10903 named Jeffrey Thompson, age 15, gender Male, is in Class 8. Scored 81 in Math, 33 in Science, 52 in English, 58 in History, and 75 in Computer, totaling 299 marks with Grade D. Attendance stands at 74.01 percent. Participates in Dance as an extracurricular activity.
Student S10905 named Colton Guerra, age 13, gender Female, is in Class 8. Scored 65 in Math, 68 in Science, 32 in English, 88 in History, and 86 in Computer, totaling 339 marks with Grade C. Attendance stands at 84.37 percent. Participates in Football as an extracurricular activity.
Student S10910 named Jorge Graham, age 13, gender Female, is in Class 8. Scored 64 in Math, 60 in Science, 98 in English, 49 in History, and 57 in Computer, totaling 328 marks with Grade C. Attendance stands at 70.88 percent. Participates in Drama as an extracurricular activity.
Student S10911 named Daniel Garcia, age 17, gender Male, is in Class 8. Scored 76 in Math, 50 in Science, 81 in English, 41 in History, and 35 in Computer, totaling 283 marks with Grade D. Attendance stands at 74.97 percent. Participates in Football as an extracurricular activity.
Student S10944 named Gilbert Hernandez, age 16, gender Female, is in Class 8. Scored 37 in Math, 54 in Science, 75 in English, 74 in History, and 97 in Computer, totaling 337 marks with Grade C. Attendance stands at 75.33 percent. Participates in Drama as an extracurricular activity.
Student S10945 named Anna Ramirez, age 14, gender Male, is in Class 8. Scored 44 in Math, 63 in Science, 40 in English, 65 in History, and 92 in Computer, totaling 304 marks with Grade C. Attendance stands at 90.86 percent. Participates in Music as an extracurricular activity.
Student S10953 named Ryan Richardson, age 16, gender Female, is in Class 8. Scored 33 in Math, 55 in Science, 76 in English, 55 in History, and 30 in Computer, totaling 249 marks with Grade D. Attendance stands at 75.98 percent. Participates in Debate as an extracurricular activity.
Student S10954 named Meghan Williamson, age 13, gender Female, is in Class 8. Scored 81 in Math, 50 in Science, 56 in English, 47 in History, and 67 in Computer, totaling 301 marks with Grade C. Attendance stands at 82.88 percent. Participates in Dance as an extracurricular activity.
Student S10957 named Jose Alvarez, age 15, gender Male, is in Class 8. Scored 95 in Math, 95 in Science, 62 in English, 80 in History, and 63 in Computer, totaling 395 marks with Grade C. Attendance stands at 85.06 percent. Participates in None as an extracurricular activity.
Student S10962 named Sheryl Taylor, age 13, gender Female, is in Class 8. Scored 35 in Math, 78 in Science, 46 in English, 65 in History, and 30 in Computer, totaling 254 marks with Grade D. Attendance stands at 76.89 percent. Participates in Debate as an extracurricular activity.
Student S10968 named Jacob Roberts, age 12, gender Male, is in Class 8. Scored 97 in Math, 94 in Science, 43 in English, 44 in History, and 79 in Computer, totaling 357 marks with Grade C. Attendance stands at 97.00 percent. Participates in None as an extracurricular activity.
Student S10975 named Jeffrey Thompson, age 10, gender Female, is in Class 8. Scored 98 in Math, 68 in Science, 49 in English, 55 in History, and 37 in Computer, totaling 307 marks with Grade C. Attendance stands at 99.26 percent. Participates in Music as an extracurricular activity.
Student S10976 named Savannah Lee, age 14, gender Female, is in Class 8. Scored 89 in Math, 72 in Science, 66 in English, 75 in History, and 43 in Computer, totaling 345 marks with Grade C. Attendance stands at 84.24 percent. Participates in Drama as an extracurricular activity.
Student S10980 named Thomas Salazar, age 15, gender Male, is in Class 8. Scored 57 in Math, 60 in Science, 85 in English, 55 in History, and 94 in Computer, totaling 351 marks with Grade C. Attendance stands at 67.20 percent. Participates in Dance as an extracurricular activity.
