Student S10000 named Brianna Smith, age 16, gender Female, is in Class 12. Scored 47 in Math, 85 in Science, 67 in English, 68 in History, and 81 in Computer, totaling 348 marks with Grade C. Attendance stands at 61.70 percent. Participates in None as an extracurricular activity.
Student S10259 named Linda Villa, age 12, gender Female, is in Class 12. Scored 52 in Math, 48 in Science, 60 in English, 99 in History, and 91 in Computer, totaling 350 marks with Grade C. Attendance stands at 79.76 percent. Participates in None as an extracurricular activity.
Student S10261 named Kelly Walker, age 10, gender Female, is in Class 12. Scored 53 in Math, 96 in Science, 86 in English, 97 in History, and 32 in Computer, totaling 364 marks with Grade C. Attendance stands at 73.76 percent. Participates in None as an extracurricular activity.
Student S10262 named Sydney Kelly, age 12, gender Male, is in Class 12. Scored 38 in Math, 37 in Science, 70 in English, 60 in History, and 83 in Computer, totaling 288 marks with Grade D. Attendance stands at 93.49 percent. Participates in Debate as an extracurricular activity.
Student S10265 named Christine Johnson, age 11, gender Female, is in Class 12. Scored 59 in Math, 45 in Science, 32 in English, 40 in History, and 61 in Computer, totaling 237 marks with Grade D. Attendance stands at 65.26 percent. Participates in Debate as an extracurricular activity.
Student S10275 named Mark Armstrong Jr., age 17, gender Female, is in Class 12. Scored 67 in Math, 72 in Science, 46 in English, 98 in History, and 67 in Computer, totaling 350 marks with Grade C. Attendance stands at 94.48 percent. Participates in None as an extracurricular activity.
Student S10279 named Malik Valencia, age 16, gender Female, is in Class 12. Scored 75 in Math, 89 in Science, 34 in English, 81 in History, and 83 in Computer, totaling 362 marks with Grade C. Attendance stands at 99.78 percent. Participates in Music as an extracurricular activity.
Student S10289 named Fernando Rush, age 15, gender Male, is in Class 12. Scored 85 in Math, 59 in Science, 47 in English, 59 in History, and 92 in Computer, totaling 342 marks with Grade C. Attendance stands at 60.14 percent. Participates in None as an extracurricular activity.
Student S10290 named Jennifer Taylor, age 14, gender Male, is in Class 12. Scored 49 in Math, 39 in Science, 44 in English, 34 in History, and 58 in Computer, totaling 224 marks with Grade D. Attendance stands at 81.32 percent. Participates in Dance as an extracurricular activity.
Student S10301 named Matthew Allen, age 17, gender Female, is in Class 12. Scored 91 in Math, 67 in Science, 61 in English, 43 in History, and 35 in Computer, totaling 297 marks with Grade D. Attendance stands at 76.65 percent. Participates in Dance as an extracurricular activity.
Student S10305 named Paige Leblanc, age 12, gender Female, is in Class 12. Scored 38 in Math, 97 in Science, 73 in English, 66 in History, and 66 in Computer, totaling 340 marks with Grade C. Attendance stands at 93.94 percent. Participates in Music as an extracurricular activity.
Student S10309 named Austin Morris, age 11, gender Female, is in Class 12. Scored 66 in Math, 48 in Science, 70 in English, 69 in History, and 87 in Computer, totaling 340 marks with Grade C. Attendance stands at 82.91 percent. Participates in Football as an extracurricular activity.
Student S10314 named Debra James, age 11, gender Female, is in Class 12. Scored 81 in Math, 79 in Science, 66 in English, 42 in History, and 76 in Computer, totaling 344 marks with Grade C. Attendance stands at 86.50 percent. Participates in Dance as an extracurricular activity.
Student S10322 named Jaime Jones, age 14, gender Female, is in Class 12. Scored 60 in Math, 96 in Science, 94 in English, 45 in History, and 77 in Computer, totaling 372 marks with Grade C. Attendance stands at 77.05 percent. Participates in Music as an extracurricular activity.
Student S10324 named Craig Martinez, age 16, gender Male, is in Class 12. Scored 59 in Math, 39 in Science, 78 in English, 79 in History, and 64 in Computer, totaling 319 marks with Grade C. Attendance stands at 60.55 percent. Participates in Music as an extracurricular activity.
Student S10326 named Adam May, age 13, gender Female, is in Class 12. Scored 50 in Math, 58 in Science, 38 in English, 82 in History, and 71 in Computer, totaling 299 marks with Grade D. Attendance stands at 82.14 percent. Participates in Drama as an extracurricular activity.
Student S10328 named Brittany Welch, age 17, gender Male, is in Class 12. Scored 75 in Math, 88 in Science, 49 in English, 72 in History, and 97 in Computer, totaling 381 marks with Grade C. Attendance stands at 69.65 percent. Participates in Debate as an extracurricular activity.
Student S10329 named Troy Vang, age 16, gender Male, is in Class 12. Scored 65 in Math, 63 in Science, 99 in English, 96 in History, and 30 in Computer, totaling 353 marks with Grade C. Attendance stands at 75.30 percent. Participates in Football as an extracurricular activity.
Student S10354 named Vanessa Johnson, age 12, gender Female, is in Class 12. Scored 83 in Math, 33 in Science, 76 in English, 84 in History, and 62 in Computer, totaling 338 marks with Grade C. Attendance stands at 69.13 percent. Participates in Football as an extracurricular activity.
Student S10355 named Brianna Moore, age 12, gender Female, is in Class 12. Scored 35 in Math, 68 in Science, 54 in English, 71 in History, and 87 in Computer, totaling 315 marks with Grade C. Attendance stands at 96.17 percent. Participates in None as an extracurricular activity.
Student S10360 named Theodore Francis, age 12, gender Female, is in Class 12. Scored 48 in Math, 77 in Science, 59 in English, 48 in History, and 47 in Computer, totaling 279 marks with Grade D. Attendance stands at 64.59 percent. Participates in Dance as an extracurricular activity.
Student S10361 named Kenneth Beltran, age 11, gender Female, is in Class 12. Scored 88 in Math, 46 in Science, 52 in English, 93 in History, and 42 in Computer, totaling 321 marks with Grade C. Attendance stands at 66.82 percent. Participates in Music as an extracurricular activity.
Student S10363 named Eddie Rodriguez, age 14, gender Female, is in Class 12. Scored 50 in Math, 71 in Science, 43 in English, 57 in History, and 91 in Computer, totaling 312 marks with Grade C. Attendance stands at 86.60 percent. Participates in Drama as an extracurricular activity.
Student S10364 named Kelly Morales, age 13, gender Female, is in Class 12. Scored 39 in Math, 42 in Science, 93 in English, 39 in History, and 61 in Computer, totaling 274 marks with Grade D. Attendance stands at 73.37 percent. Participates in Dance as an extracurricular activity.
Student S10370 named Amber Vega, age 17, gender Male, is in Class 12. Scored 42 in Math, 75 in Science, 86 in English, 87 in History, and 73 in Computer, totaling 363 marks with Grade C. Attendance stands at 93.37 percent. Participates in Debate as an extracurricular activity.
Student S10371 named Tammy Chavez, age 16, gender Female, is in Class 12. Scored 30 in Math, 33 in Science, 35 in English, 80 in History, and 85 in Computer, totaling 263 marks with Grade D. Attendance stands at 68.78 percent. Participates in None as an extracurricular activity.
Student S10378 named Christopher Williams, age 11, gender Male, is in Class 12. Scored 44 in Math, 64 in Science, 86 in English, 38 in History, and 44 in Computer, totaling 276 marks with Grade D. Attendance stands at 84.67 percent. Participates in Dance as an extracurricular activity.
Student S10381 named Stephanie Moody, age 11, gender Male, is in Class 12. Scored 72 in Math, 73 in Science, 64 in English, 42 in History, and 37 in Computer, totaling 288 marks with Grade D. Attendance stands at 88.78 percent. Participates in None as an extracurricular activity.
Student S10386 named Christopher Stewart, age 11, gender Female, is in Class 12. Scored 81 in Math, 82 in Science, 99 in English, 85 in History, and 67 in Computer, totaling 414 marks with Grade B. Attendance stands at 71.07 percent. Participates in None as an extracurricular activity.
Student S10388 named Suzanne Johnson, age 13, gender Female, is in Class 12. Scored 31 in Math, 67 in Science, 74 in English, 68 in History, and 90 in Computer, totaling 330 marks with Grade C. Attendance stands at 83.14 percent. Participates in Music as an extracurricular activity.
Student S10406 named Christopher Ward, age 10, gender Female, is in Class 12. Scored 61 in Math, 97 in Science, 75 in English, 34 in History, and 82 in Computer, totaling 349 marks with Grade C. Attendance stands at 67.88 percent. Participates in Debate as an extracurricular activity.
Student S10419 named John Edwards, age 12, gender Female, is in Class 12. Scored 70 in Math, 84 in Science, 55 in English, 54 in History, and 96 in Computer, totaling 359 marks with Grade C. Attendance stands at 81.00 percent. Participates in Dance as an extracurricular activity.
Student S10424 named Frank Anderson, age 11, gender Male, is in Class 12. Scored 64 in Math, 44 in Science, 55 in English, 50 in History, and 67 in Computer, totaling 280 marks with Grade D. Attendance stands at 79.53 percent. Participates in Dance as an extracurricular activity.
Student S10425 named Tiffany Ayala, age 17, gender Female, is in Class 12. Scored 39 in Math, 71 in Science, 49 in English, 92 in History, and 68 in Computer, totaling 319 marks with Grade C. Attendance stands at 94.96 percent. Participates in Debate as an extracurricular activity.
Student S10428 named Mrs. Regina Smith, age 12, gender Female, is in Class 12. Scored 73 in Math, 89 in Science, 46 in English, 87 in History, and 66 in Computer, totaling 361 marks with Grade C. Attendance stands at 63.68 percent. Participates in Drama as an extracurricular activity.
Student S10439 named Austin Nunez, age 16, gender Female, is in Class 12. Scored 47 in Math, 92 in Science, 84 in English, 88 in History, and 86 in Computer, totaling 397 marks with Grade C. Attendance stands at 75.42 percent. Participates in None as an extracurricular activity.
Student S10441 named Pamela Schroeder, age 13, gender Female, is in Class 12. Scored 37 in Math, 77 in Science, 90 in English, 63 in History, and 79 in Computer, totaling 346 marks with Grade C. Attendance stands at 85.91 percent. Participates in Drama as an extracurricular activity.
Student S10442 named Catherine Foley, age 15, gender Female, is in Class 12. Scored 75 in Math, 46 in Science, 37 in English, 61 in History, and 80 in Computer, totaling 299 marks with Grade D. Attendance stands at 84.56 percent. Participates in Football as an extracurricular activity.
Student S10448 named Warren Harris, age 14, gender Female, is in Class 12. Scored 78 in Math, 50 in Science, 98 in English, 43 in History, and 90 in Computer, totaling 359 marks with Grade C. Attendance stands at 93.85 percent. Participates in None as an extracurricular activity.
Student S10475 named Ruth Ramirez, age 13, gender Female, is in Class 12. Scored 80 in Math, 38 in Science, 57 in English, 57 in History, and 61 in Computer, totaling 293 marks with Grade D. Attendance stands at 63.67 percent. Participates in None as an extracurricular activity.
Student S10494 named Tina Powell, age 14, gender Male, is in Class 12. Scored 41 in Math, 73 in Science, 94 in English, 72 in History, and 34 in Computer, totaling 314 marks with Grade C. Attendance stands at 69.06 percent. Participates in Drama as an extracurricular activity.
Student S10500 named Travis Williams, age 11, gender Female, is in Class 12. Scored 33 in Math, 50 in Science, 96 in English, 66 in History, and 76 in Computer, totaling 321 marks with Grade C. Attendance stands at 62.62 percent. Participates in Football as an extracurricular activity.
Student S10502 named Michelle Watkins, age 14, gender Female, is in Class 12. Scored 99 in Math, 30 in Science, 82 in English, 74 in History, and 57 in Computer, totaling 342 marks with Grade C. Attendance stands at 96.96 percent. Participates in Dance as an extracurricular activity.
Student S10506 named Anthony Johnson, age 16, gender Male, is in Class 12. Scored 98 in Math, 83 in Science, 46 in English, 78 in History, and 49 in Computer, totaling 354 marks with Grade C. Attendance stands at 61.97 percent. Participates in Drama as an extracurricular activity.
Student S10509 named Cynthia Kaiser, age 16, gender Female, is in Class 12. Scored 73 in Math, 63 in Science, 47 in English, 56 in History, and 67 in Computer, totaling 306 marks with Grade C. Attendance stands at 83.93 percent. Participates in Music as an extracurricular activity.
Student S10526 named Samantha Lee, age 17, gender Male, is in Class 12. Scored 33 in Math, 71 in Science, 78 in English, 60 in History, and 69 in Computer, totaling 311 marks with Grade C. Attendance stands at 78.20 percent. Participates in Debate as an extracurricular activity.
Student S10528 named Dennis Clark, age 16, gender Male, is in Class 12. Scored 58 in Math, 88 in Science, 51 in English, 96 in History, and 88 in Computer, totaling 381 marks with Grade C. Attendance stands at 90.78 percent. Participates in Drama as an extracurricular activity.
Student S10532 named Taylor Brown, age 11, gender Female, is in Class 12. Scored 48 in Math, 90 in Science, 47 in English, 94 in History, and 93 in Computer, totaling 372 marks with Grade C. Attendance stands at 85.61 percent. Participates in Drama as an extracurricular activity.
Student S10534 named Christine Sandoval, age 15, gender Female, is in Class 12. Scored 84 in Math, 34 in Science, 51 in English, 53 in History, and 68 in Computer, totaling 290 marks with Grade D. Attendance stands at 78.21 percent. Participates in Dance as an extracurricular activity.
Student S10549 named Amber Copeland, age 17, gender Male, is in Class 12. Scored 89 in Math, 87 in Science, 90 in English, 80 in History, and 95 in Computer, totaling 441 marks with Grade B. Attendance stands at 94.32 percent. Participates in Drama as an extracurricular activity.
Student S10551 named Jeremy Smith, age 15, gender Male, is in Class 12. Scored 57 in Math, 59 in Science, 88 in English, 73 in History, and 76 in Computer, totaling 353 marks with Grade C. Attendance stands at 74.88 percent. Participates in Music as an extracurricular activity.
Student S10568 named Christopher Garner, age 11, gender Male, is in Class 12. Scored 94 in Math, 55 in Science, 36 in English, 62 in History, and 97 in Computer, totaling 344 marks with Grade C. Attendance stands at 62.80 percent. Participates in Dance as an extracurricular activity.
Student S10571 named Rhonda Powell, age 16, gender Male, is in Class 12. Scored 44 in Math, 98 in Science, 33 in English, 62 in History, and 54 in Computer, totaling 291 marks with Grade D. Attendance stands at 87.61 percent. Participates in None as an extracurricular activity.
Student S10574 named Stanley Neal, age 11, gender Male, is in Class 12. Scored 37 in Math, 49 in Science, 87 in English, 78 in History, and 39 in Computer, totaling 290 marks with Grade D. Attendance stands at 89.01 percent. Participates in Dance as an extracurricular activity.
Student S10589 named Michael Williams, age 16, gender Female, is in Class 12. Scored 82 in Math, 98 in Science, 38 in English, 59 in History, and 48 in Computer, totaling 325 marks with Grade C. Attendance stands at 83.14 percent. Participates in Music as an extracurricular activity.
Student S10593 named Courtney Boyle, age 14, gender Male, is in Class 12. Scored 45 in Math, 50 in Science, 58 in English, 52 in History, and 66 in Computer, totaling 271 marks with Grade D. Attendance stands at 66.77 percent. Participates in Dance as an extracurricular activity.
Student S10608 named John Simpson, age 13, gender Male, is in Class 12. Scored 56 in Math, 89 in Science, 61 in English, 89 in History, and 95 in Computer, totaling 390 marks with Grade C. Attendance stands at 82.21 percent. Participates in Football as an extracurricular activity.
Student S10610 named Cynthia Holmes, age 11, gender Female, is in Class 12. Scored 94 in Math, 73 in Science, 99 in English, 36 in History, and 32 in Computer, totaling 334 marks with Grade C. Attendance stands at 68.82 percent. Participates in Dance as an extracurricular activity.
Student S10623 named Lisa Rivera, age 11, gender Female, is in Class 12. Scored 50 in Math, 84 in Science, 35 in English, 31 in History, and 43 in Computer, totaling 243 marks with Grade D. Attendance stands at 94.48 percent. Participates in Debate as an extracurricular activity.
Student S10629 named Heather Galvan, age 11, gender Male, is in Class 12. Scored 64 in Math, 88 in Science, 48 in English, 61 in History, and 61 in Computer, totaling 322 marks with Grade C. Attendance stands at 95.13 percent. Participates in None as an extracurricular activity.
Student S10646 named Mike Reynolds, age 10, gender Male, is in Class 12. Scored 76 in Math, 96 in Science, 50 in English, 80 in History, and 30 in Computer, totaling 332 marks with Grade C. Attendance stands at 94.87 percent. Participates in Football as an extracurricular activity.
Student S10653 named Diane Campbell, age 16, gender Female, is in Class 12. Scored 68 in Math, 95 in Science, 88 in English, 87 in History, and 30 in Computer, totaling 368 marks with Grade C. Attendance stands at 64.09 percent. Participates in Music as an extracurricular activity.
Student S10655 named Daniel Spence, age 11, gender Female, is in Class 12. Scored 43 in Math, 68 in Science, 59 in English, 48 in History, and 56 in Computer, totaling 274 marks with Grade D. Attendance stands at 67.96 percent. Participates in None as an extracurricular activity.
Student S10659 named Tiffany Morgan, age 11, gender Male, is in Class 12. Scored 31 in Math, 57 in Science, 69 in English, 43 in History, and 61 in Computer, totaling 261 marks with Grade D. Attendance stands at 70.86 percent. Participates in None as an extracurricular activity.
Student S10681 named Jesse Schultz, age 12, gender Female, is in Class 12. Scored 33 in Math, 41 in Science, 41 in English, 37 in History, and 57 in Computer, totaling 209 marks with Grade D. Attendance stands at 67.78 percent. Participates in Football as an extracurricular activity.
Student S10700 named Kimberly Cook, age 11, gender Female, is in Class 12. Scored 62 in Math, 84 in Science, 47 in English, 64 in History, and 34 in Computer, totaling 291 marks with Grade D. Attendance stands at 93.46 percent. Participates in Football as an extracurricular activity.
Student S10708 named Austin Grimes, age 12, gender Female, is in Class 12. Scored 33 in Math, 90 in Science, 45 in English, 76 in History, and 86 in Computer, totaling 330 marks with Grade C. Attendance stands at 65.18 percent. Participates in Football as an extracurricular activity.
Student S10712 named Stephanie Cook, age 12, gender Female, is in Class 12. Scored 43 in Math, 53 in Science, 50 in English, 65 in History, and 40 in Computer, totaling 251 marks with Grade D. Attendance stands at 86.13 percent. Participates in Football as an extracurricular activity.
Student S10741 named Taylor Reyes, age 17, gender Male, is in Class 12. Scored 56 in Math, 78 in Science, 68 in English, 73 in History, and 83 in Computer, totaling 358 marks with Grade C. Attendance stands at 62.98 percent. Participates in Football as an extracurricular activity.
Student S10746 named Robert Sanchez, age 15, gender Male, is in Class 12. Scored 90 in Math, 88 in Science, 74 in English, 48 in History, and 46 in Computer, totaling 346 marks with Grade C. Attendance stands at 66.33 percent. Participates in None as an extracurricular activity.
Student S10748 named Tiffany Thomas, age 11, gender Female, is in Class 12. Scored 99 in Math, 31 in Science, 57 in English, 89 in History, and 52 in Computer, totaling 328 marks with Grade C. Attendance stands at 65.70 percent. Participates in Drama as an extracurricular activity.
Student S10751 named Gary Ramirez, age 17, gender Male, is in Class 12. Scored 70 in Math, 61 in Science, 90 in English, 80 in History, and 51 in Computer, totaling 352 marks with Grade C. Attendance stands at 78.68 percent. Participates in Debate as an extracurricular activity.
Student S10755 named Juan Davis, age 11, gender Male, is in Class 12. Scored 74 in Math, 41 in Science, 35 in English, 48 in History, and 70 in Computer, totaling 268 marks with Grade D. Attendance stands at 90.07 percent. Participates in Dance as an extracurricular activity.
Student S10762 named Robert Berry, age 16, gender Female, is in Class 12. Scored 40 in Math, 54 in Science, 72 in English, 45 in History, and 50 in Computer, totaling 261 marks with Grade D. Attendance stands at 91.20 percent. Participates in Dance as an extracurricular activity.
Student S10773 named Laura Green, age 13, gender Female, is in Class 12. Scored 40 in Math, 73 in Science, 66 in English, 51 in History, and 59 in Computer, totaling 289 marks with Grade D. Attendance stands at 92.54 percent. Participates in Music as an extracurricular activity.
Student S10777 named Raymond Gonzalez, age 11, gender Male, is in Class 12. Scored 95 in Math, 79 in Science, 87 in English, 61 in History, and 37 in Computer, totaling 359 marks with Grade C. Attendance stands at 82.10 percent. Participates in None as an extracurricular activity.
Student S10785 named Kimberly Ross, age 17, gender Female, is in Class 12. Scored 95 in Math, 95 in Science, 98 in English, 52 in History, and 39 in Computer, totaling 379 marks with Grade C. Attendance stands at 94.80 percent. Participates in Football as an extracurricular activity.
Student S10787 named Troy Evans, age 11, gender Female, is in Class 12. Scored 46 in Math, 77 in Science, 43 in English, 87 in History, and 38 in Computer, totaling 291 marks with Grade D. Attendance stands at 84.85 percent. Participates in Music as an extracurricular activity.
Student S10789 named Katie Lopez, age 12, gender Female, is in Class 12. Scored 60 in Math, 34 in Science, 68 in English, 51 in History, and 52 in Computer, totaling 265 marks with Grade D. Attendance stands at 93.88 percent. Participates in Debate as an extracurricular activity.
Student S10791 named Jaime Robles, age 12, gender Female, is in Class 12. Scored 60 in Math, 44 in Science, 68 in English, 69 in History, and 55 in Computer, totaling 296 marks with Grade D. Attendance stands at 88.26 percent. Participates in None as an extracurricular activity.
Student S10795 named Craig Blake, age 14, gender Male, is in Class 12. Scored 68 in Math, 88 in Science, 54 in English, 36 in History, and 89 in Computer, totaling 335 marks with Grade C. Attendance stands at 83.45 percent. Participates in Football as an extracurricular activity.
Student S10801 named Jessica Acosta DVM, age 16, gender Female, is in Class 12. Scored 80 in Math, 84 in Science, 36 in English, 85 in History, and 62 in Computer, totaling 347 marks with Grade C. Attendance stands at 80.90 percent. Participates in Music as an extracurricular activity.
Student S10807 named Chad Hess, age 16, gender Male, is in Class 12. Scored 64 in Math, 56 in Science, 47 in English, 57 in History, and 82 in Computer, totaling 306 marks with Grade C. Attendance stands at 85.64 percent. Participates in Music as an extracurricular activity.
Student S10808 named Teresa Gonzalez DDS, age 17, gender Female, is in Class 12. Scored 51 in Math, 64 in Science, 57 in English, 34 in History, and 77 in Computer, totaling 283 marks with Grade D. Attendance stands at 86.97 percent. Participates in Drama as an extracurricular activity.
Student S10810 named Kimberly Martin, age 11, gender Female, is in Class 12. Scored 82 in Math, 31 in Science, 32 in English, 68 in History, and 39 in Computer, totaling 252 marks with Grade D. Attendance stands at 72.73 percent. Participates in Dance as an extracurricular activity.
Student S10823 named Brianna Thompson, age 10, gender Female, is in Class 12. Scored 51 in Math, 90 in Science, 91 in English, 34 in History, and 98 in Computer, totaling 364 marks with Grade C. Attendance stands at 91.64 percent. Participates in Debate as an extracurricular activity.
Student S10854 named Jill Parker, age 14, gender Female, is in Class 12. Scored 74 in Math, 64 in Science, 53 in English, 35 in History, and 66 in Computer, totaling 292 marks with Grade D. Attendance stands at 62.33 percent. Participates in Music as an extracurricular activity.
Student S10866 named Kevin Rodriguez, age 13, gender Male, is in Class 12. Scored 32 in Math, 73 in Science, 78 in English, 74 in History, and 81 in Computer, totaling 338 marks with Grade C. Attendance stands at 90.37 percent. Participates in None as an extracurricular activity.
