StudentID,Name,Age,Gender,Class,Math,Science,English,History,Computer,AttendancePercent,Extracurricular,Total,Grade
S10232,Alison Nielsen,15,Female,8,36,43,65,85,59,84.34,Music,288,D
S10233,Ruth Harper,12,Female,11,71,62,81,32,86,78.14,None,332,C
S10234,Thomas Weiss,15,Male,12,43,78,85,78,53,92.16,Dance,337,C
S10235,Colin Thompson,15,Female,5,34,30,60,50,72,74.84,Dance,246,D
S10236,Barbara Howard,12,Female,11,88,81,89,46,78,87.29,Dance,382,C
S10237,Mary Parker,14,Female,7,74,70,89,30,38,84.5,Dance,301,C
S10238,Cindy Williams,16,Female,10,49,99,62,57,32,88.49,Drama,299,D
S10239,Javier Young,11,Male,9,37,92,85,94,87,79.27,Music,395,C
S10240,Aaron Mcdonald,14,Male,9,98,72,54,80,87,93.46,Drama,391,C
S10241,Travis Hernandez PhD,10,Female,12,77,45,54,43,52,89.97,Football,271,D
S10242,Richard Neal,16,Female,6,80,84,63,89,57,64.06,Music,373,C
S10243,Lisa Beck,14,Male,6,55,30,51,38,35,88.51,Drama,209,D
S10244,Ronald Whitehead,16,Female,7,53,39,53,61,95,74.68,None,301,C
S10245,Jacqueline Mendoza,16,Male,10,48,83,62,64,35,83.67,Football,292,D
S10246,Gary Garcia,10,Female,5,54,94,73,91,82,76.28,Drama,394,C
S10247,Andrew Phelps,10,Male,8,82,58,64,47,98,76.08,Drama,349,C
S10248,Chelsea Becker,11,Male,10,79,65,48,45,88,61.04,Music,325,C
S10249,Nathan Anderson,13,Female,5,89,65,89,99,53,82.22,Debate,395,C
S10250,Leslie Williams DDS,12,Male,9,74,84,56,98,87,75.79,Drama,399,C
S10251,John Powers,14,Male,7,92,92,48,63,42,62.83,None,337,C
S10252,Elizabeth Scott,14,Female,6,81,77,96,47,37,94.25,Dance,338,C
S10253,Jonathan Bennett,14,Male,9,40,33,43,53,69,91.93,Debate,238,D
S10254,Ryan Cooper,14,Male,7,36,32,47,52,55,86.34,Drama,222,D
S10255,Kenneth Johnston,10,Female,9,69,84,70,42,41,76.95,Dance,306,C
S10256,Kyle Miller,16,Male,6,42,63,56,40,54,77.44,Debate,255,D
S10257,Tony Novak DDS,15,Male,7,97,88,82,55,45,79.85,Dance,367,C
S10258,Joshua Johnston,10,Female,7,77,56,72,41,33,91.83,Football,279,D
S10259,Linda Villa,12,Female,12,52,48,60,99,91,79.76,None,350,C
S10260,Timothy Stewart,16,Female,8,45,75,58,89,62,87.01,Debate,329,C
S10261,Kelly Walker,10,Female,12,53,96,86,97,32,73.76,None,364,C
S10262,Sydney Kelly,12,Male,12,38,37,70,60,83,93.49,Debate,288,D
S10263,Kayla Jackson,13,Male,8,99,49,70,80,44,68.68,Music,342,C
S10264,Madison Hodges,15,Female,6,56,93,95,35,36,63.26,Debate,315,C
S10265,Christine Johnson,11,Female,12,59,45,32,40,61,65.26,Debate,237,D
S10266,Chelsea Stevens,14,Female,8,60,80,95,48,54,92.44,Debate,337,C
S10267,Ryan Stewart,14,Male,6,80,76,39,90,61,61.16,Football,346,C
S10268,David Barnes,14,Female,11,83,55,68,54,75,61.62,Football,335,C
S10269,Mr. Caleb Aguilar,13,Female,10,91,73,93,57,78,77.79,Drama,392,C
S10270,John Humphrey,14,Female,10,96,93,72,63,89,98.75,Dance,413,B
S10271,Brenda Smith,16,Male,8,97,92,85,96,73,90.79,Dance,443,B
S10272,Robert Ramirez,10,Female,10,76,54,38,47,72,80.92,Football,287,D
S10273,Steven Gonzales,12,Male,8,85,61,67,38,52,60.74,Drama,303,C
S10274,Katherine Ford,16,Male,6,55,86,50,91,37,76.26,Drama,319,C
S10275,Mark Armstrong Jr.,17,Female,12,67,72,46,98,67,94.48,None,350,C
S10276,Jesus Vega,13,Male,5,59,32,62,43,34,97.89,Debate,230,D
S10277,James Jones,17,Male,9,84,87,56,66,60,99.21,Football,353,C
S10278,Matthew Smith,10,Male,7,37,41,89,67,67,64.69,Football,301,C
S10279,Malik Valencia,16,Female,12,75,89,34,81,83,99.78,Music,362,C
S10280,Jennifer Espinoza,10,Male,11,77,31,67,66,69,85.9,Drama,310,C
S10281,Joseph Sanders,16,Male,9,67,84,84,54,66,90.15,Football,355,C
S10282,Luis Cox,13,Female,11,73,32,34,88,85,77.84,Drama,312,C
S10283,Daniel Todd,12,Female,6,34,97,44,76,71,94.08,None,322,C
S10284,Kelly Gomez,14,Male,5,50,81,73,57,54,84.06,Debate,315,C
S10285,Louis Martin,14,Female,8,67,91,90,90,95,66.12,Debate,433,B
S10286,Tommy Moreno,15,Male,7,68,66,67,99,76,90.92,Dance,376,C
S10287,John Myers,14,Female,10,73,68,50,62,72,75.88,Football,325,C
S10288,Caleb Thompson,17,Female,10,30,87,73,30,62,83.61,None,282,D
S10289,Fernando Rush,15,Male,12,85,59,47,59,92,60.14,None,342,C
S10290,Jennifer Taylor,14,Male,12,49,39,44,34,58,81.32,Dance,224,D
S10291,Denise Howard,10,Male,11,56,70,39,68,74,70.25,Music,307,C
S10292,Grant Ewing,10,Female,6,89,32,93,66,97,97.06,Debate,377,C
S10293,Earl Johnson,10,Female,10,54,65,64,71,70,83.7,None,324,C
S10294,Jon Wolf,14,Female,11,71,47,37,43,37,87.71,Music,235,D
S10295,Crystal Hinton,16,Female,5,34,55,95,40,40,85.81,Music,264,D
S10296,Kimberly White,13,Male,6,32,87,55,90,94,78.71,Music,358,C
S10297,Mr. Corey Lopez,12,Female,5,49,68,57,63,67,84.53,Dance,304,C
S10298,Erica Wagner,17,Male,8,74,70,87,92,52,69.93,Dance,375,C
S10299,Natasha Gonzalez,12,Male,11,65,84,90,87,81,69.7,Debate,407,B
S10300,Samantha Brennan,11,Female,10,87,83,40,99,44,81.64,Football,353,C
S10301,Matthew Allen,17,Female,12,91,67,61,43,35,76.65,Dance,297,D
S10302,Laura Blankenship,17,Female,10,34,60,63,38,70,82.09,Debate,265,D
S10303,Jessica Kirby,13,Female,9,60,54,63,42,68,90.5,Drama,287,D
S10304,Jamie Ortega,12,Male,11,86,78,72,32,46,97.85,None,314,C
S10305,Paige Leblanc,12,Female,12,38,97,73,66,66,93.94,Music,340,C
S10306,James Moore,16,Male,5,72,97,67,44,50,95.0,Debate,330,C
S10307,Ashley Rice,16,Male,11,32,61,67,97,77,86.9,Drama,334,C
S10308,Mary Martin,15,Male,7,77,37,44,63,49,76.84,Drama,270,D
S10309,Austin Morris,11,Female,12,66,48,70,69,87,82.91,Football,340,C
S10310,Calvin Thomas,15,Male,10,57,58,35,65,61,71.45,Debate,276,D
S10311,Patricia Sanders,16,Male,5,75,51,75,49,30,80.41,None,280,D
S10312,Timothy Kaiser,16,Male,8,77,42,70,64,44,77.52,None,297,D
S10313,Carmen Lee,15,Female,10,94,92,64,83,59,89.02,None,392,C
S10314,Debra James,11,Female,12,81,79,66,42,76,86.5,Dance,344,C
S10315,John Rasmussen,17,Female,11,69,52,44,61,60,83.5,None,286,D
S10316,Peter Blackwell,10,Male,6,88,91,32,56,46,60.56,Debate,313,C
S10317,Christy Oliver,17,Female,11,68,64,86,57,95,64.06,Dance,370,C
S10318,Paul Young,16,Male,11,91,62,43,42,40,74.32,Music,278,D
S10319,Christine Kennedy,16,Female,7,71,86,66,61,86,75.28,Dance,370,C
S10320,Christopher Harmon,11,Female,9,58,71,47,44,60,72.02,Drama,280,D
S10321,James Branch,16,Male,5,34,70,84,90,49,99.95,Football,327,C
S10322,Jaime Jones,14,Female,12,60,96,94,45,77,77.05,Music,372,C
S10323,Jessica Smith,13,Male,5,92,76,93,30,49,80.33,Football,340,C
S10324,Craig Martinez,16,Male,12,59,39,78,79,64,60.55,Music,319,C
S10325,Mary Jensen,14,Male,11,90,98,90,95,34,67.93,None,407,B
S10326,Adam May,13,Female,12,50,58,38,82,71,82.14,Drama,299,D
S10327,Angel Reid,11,Male,10,50,55,65,80,60,66.17,None,310,C
S10328,Brittany Welch,17,Male,12,75,88,49,72,97,69.65,Debate,381,C
S10329,Troy Vang,16,Male,12,65,63,99,96,30,75.3,Football,353,C
S10330,Brett Benitez,10,Female,5,61,93,93,43,78,71.81,Music,368,C
S10331,David Jacobs,11,Male,9,86,40,33,36,34,71.87,None,229,D
S10332,Timothy Wallace,17,Female,6,65,92,97,48,96,71.6,Football,398,C
S10333,Margaret Lee,14,Female,5,61,80,32,98,60,94.29,Debate,331,C
S10334,Jessica Gonzales,14,Male,8,35,57,44,88,69,62.03,Drama,293,D
S10335,Matthew Moore,12,Male,10,78,36,92,58,98,86.2,Debate,362,C
S10336,Jessica Lopez,10,Male,5,35,71,85,33,61,75.59,Drama,285,D
S10337,Brett Graham,11,Female,7,99,49,57,85,88,83.45,Drama,378,C
S10338,Samantha Mata,12,Female,7,75,86,80,42,67,60.16,Dance,350,C
S10339,Lauren Mitchell,11,Female,8,45,78,65,34,82,66.48,Football,304,C
S10340,Andrew Sherman,17,Male,7,30,48,60,33,67,65.75,Debate,238,D
